shared name	Zod_molecularFormula	Zod_adduct	Zod_ZodiacScore	Zod_TreeScore	Zod_numExplainedPeaks	Zod_explainedIntensity	Zod_id	Zod_massErrorPrecursor(ppm)	Zod_medianAbsoluteMassErrorFragmentPeaks(ppm)
26257	C32H59FN8O2	[M + H]+	0.867	31.918	12	0.883	4115_CARA_C18_pos_SIRIUS_26257	3.658	4.573
31555	C39H74O8	[M + H3N + H]+	0.867	26.106	10	0.758	2368_CARA_C18_pos_SIRIUS_31555	-1.154	6.071
6167	C21H36O	[M - H2O + H]+	0.867	13.453	3	1.0	2115_CARA_C18_pos_SIRIUS_6167	-62698.674	13.257
10398	C40H76O4	[M + Na]+	0.867	5.48	1	0.0	1762_CARA_C18_pos_SIRIUS_10398	-6.342	5.324
31206	C26H44O2	[M + Na]+	0.867	7.7	2	0.077	2210_CARA_C18_pos_SIRIUS_31206	-4.015	5.648
9687	C28H51B2NO	[M + Na]+	0.866	93.496	26	0.886	890_CARA_C18_pos_SIRIUS_9687	-1.216	6.188
3307	C45H89N3O	[M + Na]+	0.866	26.94	9	0.722	1845_CARA_C18_pos_SIRIUS_3307	2.694	5.361
12941	C29H61N7O8S	[M - H4O2 + H]+	0.866	17.299	9	0.451	3232_CARA_C18_pos_SIRIUS_12941	-56968.261	4.703
32419	C28H56O6	[M + H]+	0.866	12.5	2	0.417	5782_CARA_C18_pos_SIRIUS_32419	1.704	3.752
26508	C44H87NO8	[M - H4O2 + H]+	0.866	36.513	36	0.892	8112_CARA_C18_pos_SIRIUS_26508	-49855.326	7.139
879	C34H67NO4	[M + H]+	0.866	43.186	12	0.792	5061_CARA_C18_pos_SIRIUS_879	-5.746	3.858
2810	C27H55N5O3	[M - H2O + H]+	0.866	15.224	4	0.645	5867_CARA_C18_pos_SIRIUS_2810	-37495.776	6.822
26908	C18H30O3S	[M + H3N + H]+	0.866	15.472	3	0.627	5016_CARA_C18_pos_SIRIUS_26908	-6.366	6.935
31858	C24H48O4	[M + Na]+	0.865	9.091	3	1.0	2637_CARA_C18_pos_SIRIUS_31858	-5.86	6.123
4047	C40H76O5	[M + H3N + H]+	0.865	33.349	12	0.716	7803_CARA_C18_pos_SIRIUS_4047	-2.446	4.904
3473	C33H63NO4	[M + H]+	0.865	10.187	6	0.585	303_CARA_C18_pos_SIRIUS_3473	-4.245	4.981
25570	C23H51N11O8	[M - H2O + H]+	0.864	20.587	10	0.814	1002_CARA_C18_pos_SIRIUS_25570	-30410.617	4.473
2983	C46H80O3	[M + H3N + H]+	0.864	10.972	4	0.464	20_CARA_C18_pos_SIRIUS_2983	-3.109	2.395
21014	C24H52N8O2	[M + H3N + H]+	0.864	3.302	3	0.725	5207_CARA_C18_pos_SIRIUS_21014	0.899	10.404
8804	C26H52O3	[M - H2O + H]+	0.864	12.374	3	0.659	5037_CARA_C18_pos_SIRIUS_8804	-45557.814	2.538
344	C19H43N7O2	[M + H]+	0.864	9.033	2	0.994	5030_CARA_C18_pos_SIRIUS_344	3.231	1.932
4277	C28H52	[M + Na]+	0.864	5.88	1	0.0	6088_CARA_C18_pos_SIRIUS_4277	0.918	1.426
29078	C38H65N3O4	[M - H2O + H]+	0.864	5.925	6	0.277	78_CARA_C18_pos_SIRIUS_29078	-29501.478	1.006
6012	C23H45BNO2	[M + Na]+	0.863	113.335	30	0.625	6632_CARA_C18_pos_SIRIUS_6012	-5.963	7.177
23348	C26H46O3	[M + Na]+	0.863	5.955	1	0.0	7651_CARA_C18_pos_SIRIUS_23348	0.661	0.554
9160	C26H42O4	[M + H]+	0.863	45.393	8	0.988	3931_CARA_C18_pos_SIRIUS_9160	-2.114	6.583
2946	C33H64O5	[M - H2O + H]+	0.863	9.665	7	0.349	4710_CARA_C18_pos_SIRIUS_2946	-34415.824	8.422
25186	C17H34O3	[M + Na]+	0.863	4.896	1	0.0	7301_CARA_C18_pos_SIRIUS_25186	-5.225	9.71
18147	C20H38	[M + Na]+	0.863	5.818	1	0.0	4032_CARA_C18_pos_SIRIUS_18147	1.421	2.098
9289	C27H46O3	[M - H2O + H]+	0.863	28.698	8	0.324	1791_CARA_C18_pos_SIRIUS_9289	-44879.583	4.986
