shared_name	Zod_molecularFormula	Zod_adduct	Zod_ZodiacScore	Zod_TreeScore	Zod_numExplainedPeaks	Zod_explainedIntensity	Zod_id	Zod_massErrorPrecursor(ppm)	Zod_medianAbsoluteMassErrorFragmentPeaks(ppm)
8806	C16H22O10S	[M - H2O - H]-	0.999	40.01	12	0.952	3446_CARA_HILIC_neg_SIRIUS_charge0_removed_8806	-46528.026	6.15
825	C16H26O9	[M - H]-	0.999	37.719	7	0.645	2295_CARA_HILIC_neg_SIRIUS_charge0_removed_825	-2.232	5.738
5263	C13H18O7S3	[M - H]-	0.999	42.378	9	0.9	4859_CARA_HILIC_neg_SIRIUS_charge0_removed_5263	1.602	10.358
313	C7H4N6O3	[M - H]-	0.999	40.715	16	0.992	1667_CARA_HILIC_neg_SIRIUS_charge0_removed_313	-2.792	1.473
2817	C14H28N2O8	[M - H]-	0.999	37.901	10	0.757	86_CARA_HILIC_neg_SIRIUS_charge0_removed_2817	-2.817	3.446
801	C18H24O7S2	[M - H]-	0.999	32.809	12	0.62	3831_CARA_HILIC_neg_SIRIUS_charge0_removed_801	-1.852	2.812
5258	C12H18O11	[M - H]-	0.999	37.366	10	0.83	3592_CARA_HILIC_neg_SIRIUS_charge0_removed_5258	-0.104	4.503
1822	C43H89N7O7	[M - H]-	0.999	29.984	15	0.978	3740_CARA_HILIC_neg_SIRIUS_charge0_removed_1822	7.154	3.598
4087	C16H25N5O8	[M - H]-	0.999	35.313	12	0.594	1034_CARA_HILIC_neg_SIRIUS_charge0_removed_4087	-6.124	6.914
3542	C14H26N4O6	[M - H]-	0.999	32.541	15	0.794	1846_CARA_HILIC_neg_SIRIUS_charge0_removed_3542	-1.617	4.873
1401	C16H30O7S	[M - H]-	0.999	24.582	14	0.917	4888_CARA_HILIC_neg_SIRIUS_charge0_removed_1401	0.143	2.618
6443	C10H20O5S	[M - H]-	0.999	31.642	12	0.851	3599_CARA_HILIC_neg_SIRIUS_charge0_removed_6443	2.118	3.844
2766	C10H20N2O3S	[M - H]-	0.999	27.437	11	0.868	4352_CARA_HILIC_neg_SIRIUS_charge0_removed_2766	-2.78	3.094
1959	C37H65N3O7	[M - H]-	0.999	17.106	5	0.938	4547_CARA_HILIC_neg_SIRIUS_charge0_removed_1959	1.396	1.692
