Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
1571	0.202	0.052	0.058
1572	0.08	0.1	0.881
1574	0.111	0.001	0.329
1575	0.183	0.069	0.648
1576	0.168	0.076	0.155
1577	0.285	0.029	0.878
1578	0.451	0.041	0.986
1579	0.654	0.772	0.073
1580	0.185	0.099	0.219
1581	0.32	0.378	0.752
1582	0.729	0.978	0.742
1585	0.22	0.379	0.179
1586	0.745	0.892	0.463
1587	0.601	0.281	0.792
1588	0.834	0.695	0.41
1589	0.848	0.973	0.302
1590	0.711	0.766	0.49
1591	0.826	0.986	0.82
1592	0.077	0.022	0.539
1593	0.163	0.056	0.837
1594	0.099	0.119	0.394
1596	0.421	0.699	0.702
1597	0.293	0.181	0.285
1598	0.436	0.059	0.979
1599	0.162	0.6	0.334
1600	0.932	0.959	0.425
1601	0.926	0.448	0.719
1602	0.469	0.155	0.524
1603	0.016	0.035	0.716
1604	0.392	0.059	0.246
1605	0.776	0.675	0.672
1608	0.127	0.107	0.642
1609	0.576	0.799	0.193
1610	0.002	0.004	0.202
1611	0.085	0.153	0.867
1612	0.049	0.062	0.077
1613	0.093	0.092	0.402
1614	0.685	0.925	0.451
1615	0.215	0.343	0.251
1616	0.141	0.465	0.837
1617	0.989	0.665	0.785
1618	0.603	0.857	0.101
1621	0.466	0.695	0.127
1622	0.476	0.122	0.483
1624	0.143	0.161	0.341
1625	0.646	0.443	0.104
1626	0.459	0.392	0.356
1627	0.453	0.5	0.97
1628	0.006	0.061	0.04
1630	0.399	0.463	0.195
1631	0.058	0.078	0.953
1632	0.693	0.84	0.826
1633	0.047	0.024	0.872
1634	0.541	0.106	0.478
1635	0.407	0.079	0.01
1636	0.232	0.984	0.767
1637	0.074	0.043	0.111
1638	0.168	0.077	0.825
1639	0.85	0.448	0.421
1640	0.092	0.021	0.682
1642	0.971	0.979	0.475
1644	0.108	0.158	0.336
1645	0.494	0.359	0.85
1647	0.292	0.082	0.926
1649	0.371	0.204	0.476
1650	0.639	0.497	0.514
1651	0.621	0.243	0.88
1652	0.034	0.137	0.216
1653	0.556	0.962	0.73
1654	0.216	0.177	0.81
1655	0.008	0.154	0.746
1656	0.846	0.766	0.063
1657	0.193	0.36	0.908
1660	0.654	0.394	0.089
1661	0.516	0.9	0.486
1662	0.721	0.728	0.818
1663	0.891	0.495	0.002
1664	0.075	0.009	0.463
1665	0.512	0.947	0.44
1666	0.343	0.052	0.782
1668	0.314	0.322	0.407
1669	0.49	0.299	0.709
1670	0.506	0.218	0.317
1671	0.97	0.787	0.523
1673	0.99	0.786	0.134
1674	0.438	0.159	0.418
1676	0.717	0.639	0.063
1677	0.38	1	0.44
1678	0.204	0.266	0.594
1679	0.181	0.171	0.265
1680	0.304	0.65	0.805
1681	0.219	0.221	0.984
1682	0.4	0.282	0.874
1683	0.067	0.061	0.001
1684	0.347	0.245	0.466
1685	0.213	0.703	0.763
1686	0.031	0.007	0.02
1687	0.243	0.158	0.935
1690	0.713	0.186	0.884
1691	0.064	0.114	0.692
1692	0.24	0.553	0.176
1693	0.958	0.866	0.21
1694	0.017	0.024	0.528
1695	0.95	0.896	0.646
1697	0.108	0.344	0.077
1698	0.633	0.546	0.72
1699	0.411	0.981	0.37
1701	0.353	0.248	0.545
1702	0.101	0.349	0.806
1704	0.414	0.169	0.396
1705	0.321	0.393	0.754
1706	0.023	0.032	0.354
1709	0.468	0.691	0.243
1710	0.29	0.072	0.104
1711	0.326	0.318	0.038
1712	0.294	0.105	0.709
1713	0.251	0.062	0.972
1714	0.815	0.891	0.534
1715	0.328	0.414	0.697
1716	0.866	0.274	0.386
1717	0.601	0.393	0.712
1718	0.056	0.094	0.328
1719	0.244	0.377	0.631
1720	0.266	0.379	0.434
1721	0.293	0.185	0.172
1724	0.193	0.523	0.08
1725	0.891	0.915	0.449
1726	0.654	0.149	0.263
1727	0.812	0.946	0.471
1728	0.658	0.23	0.227
1729	0.953	0.802	0.404
1730	0.881	0.995	0.994
1731	0.381	0.129	0.528
1732	0.921	0.657	0.8
1734	0.651	0.693	0.114
1736	0.329	0.197	0.947
1737	0.076	0.062	0.015
1739	0.221	0.339	0.168
1740	0.874	0.25	0.98
1741	0.615	0.105	0.144
1742	0.588	0.714	0.364
1743	0.373	0.395	0.229
1744	0.047	0.281	0.353
1746	0.968	0.521	0.084
1747	0.055	0.045	0.721
1748	0.951	0.713	0.2
1749	0.949	0.428	0.19
1751	0.262	0.389	0.288
1752	0.591	0.528	0.405
1753	0.839	0.499	0.687
1754	0.762	0.693	0.555
1756	0.696	0.634	0.946
1757	0.036	0.144	0.117
1758	0.359	0.781	0.088
1759	0.916	0.788	0.857
1760	0.348	0.972	0.026
1762	0.388	0.341	0.706
1764	0.749	0.98	0.04
1765	0.588	0.459	0.284
1766	0.347	0.087	0.401
1767	0.97	0.743	0.252
1768	0.768	0.96	0.522
1769	0.374	0.54	0.613
1770	0.102	0.121	0.516
1771	0.209	0.053	0.748
1772	0.324	0.717	0.27
1773	0.445	0.341	0.668
1775	0.551	0.306	0.14
1776	0.77	0.539	0.273
1778	0.163	0.352	0.657
1779	0.267	0.014	0.7
1780	0.326	0.074	0.174
1781	0.794	0.853	0.206
1784	0.873	0.758	0.539
1785	0.497	0.837	0.047
1786	0.026	0.054	0.016
1787	0.321	0.096	0.118
1788	0.108	0.232	0.096
1789	0.217	0.184	0.528
1790	0.619	0.982	0.826
1791	0.259	0.561	0.296
1792	0.408	0.276	0.705
1793	0.531	0.12	0.139
1794	0.022	0.004	0.221
1795	0.859	0.418	0.042
1796	0.978	0.915	0.621
1797	0.72	0.249	0.786
1798	0.84	0.209	0.426
1800	0.827	0.651	0.008
1801	0.731	0.882	0.513
1803	0.288	0.852	0.453
1804	0.223	0.293	0.007
1805	0.599	0.484	0.224
1807	0.851	0.81	0.172
1808	0.794	0.553	0.927
1809	0.319	0.84	0.819
1810	0.036	0.015	0.493
1811	0.448	0.729	0.713
1812	0.817	0.848	0.385
1813	0.683	0.871	0.694
1814	0.661	0.522	0.183
1815	0.033	0.232	0.23
1816	0.968	0.853	0.178
1818	0.177	0.15	0.177
1819	0.024	0.066	0.887
1820	0.612	0.11	0.084
1821	0.253	0.38	0.154
1822	0.941	0.574	0.514
1823	0.655	0.339	0.259
1824	0.695	0.826	0.988
1825	0.015	0.014	0.139
1826	0.01	0.007	0.541
1827	0.4	0.219	0.585
1828	0.489	0.857	0.573
1829	0.613	0.327	0.886
1830	0.651	0.667	0.856
1831	0.428	0.724	0.239
1832	0.223	0.122	0.887
1833	0.925	0.217	0.669
1834	0.474	0.425	0.033
1835	0.539	0.709	0.637
1836	0.473	0.71	0.198
1837	0.816	0.622	0.694
1838	0.933	0.694	0.403
1839	0.086	0.147	0.17
1840	0.079	0.034	0.424
1842	0.487	0.447	0.407
1843	0.033	0.011	0.816
1845	0.865	0.567	0.055
1846	0.026	0.034	0.289
1848	0.687	0.301	0.313
1849	0.735	0.914	0.258
1850	0.305	0.107	0.053
1851	0.426	0.716	0.377
1852	0.093	0.26	0.471
1855	0.639	0.771	0.818
1856	0.593	0.573	0.72
1857	0.068	0.011	0.604
1858	0.055	0.155	0.103
1859	0.914	0.89	0.024
1861	0.067	0.04	0.42
1862	0.295	0.484	0.498
1866	0.2	0.359	0.776
1868	0.65	0.082	0.777
1869	0.25	0.071	0.148
1870	0.626	0.445	0.54
1871	0.206	0.597	0.844
1872	0.056	0.007	0.878
1873	0.095	0.236	0.794
1874	0.303	0.49	0.181
1875	0.702	0.625	0.933
1876	0.085	0.488	0.735
1877	0.001	0.009	0.971
1878	0.821	0.949	0.898
1879	0.285	0.792	0.185
1880	0.828	0.532	0.16
1881	0.064	0.012	0.922
1882	0.305	0.402	0.524
1883	0.54	0.746	0.013
1884	0.236	0.436	0.367
1885	0.634	0.529	0.877
1886	0.967	0.677	0.422
1887	0.098	0.571	0.023
1888	0.881	0.676	0.037
1889	0.703	0.604	0.497
1890	0.004	0.021	0.972
1891	0.982	0.852	0.19
1893	0.733	0.553	0.001
1894	0.267	0.811	0.675
1895	0.996	0.578	0.362
1896	0.66	0.247	0.969
1897	0.309	0.093	0.692
1898	0.01	0.024	0.699
1900	0.194	0.042	0.911
1901	0.898	0.67	0.804
1902	0.646	0.966	0.234
1903	0.902	0.541	0.536
1904	0.312	0.04	0.052
1905	0.399	0.459	0.576
1906	0.081	0.09	0.325
1907	0.249	0.232	0.401
1908	0.237	0.427	0.274
1910	0.459	0.78	0.978
1911	0.203	0.027	0.652
1913	0.328	0.314	0.041
1914	0.164	0.183	0.202
1917	0.301	0.884	0.3
1919	0.781	0.429	0.013
1920	0.034	0.088	0.092
1926	0.164	0.165	0.281
1927	0.12	0.061	0.209
1928	0.432	0.084	0.364
1929	0.73	0.814	0.938
1930	0.678	0.58	0.584
1933	0.127	0.415	0.94
1934	0.128	0.485	0.374
1935	0.45	0.417	0.811
1937	0.535	0.942	0.863
1938	0.326	0.194	0.251
1940	0.932	0.686	0.743
1941	0.087	0.067	0.038
1943	0.72	0.421	0.414
1944	0.806	0.962	0.492
1945	0.605	0.595	0.768
1946	0.864	0.563	0.929
1948	0.363	0.271	0.28
1950	0.54	0.527	0.35
1951	0.337	0.411	0.179
1952	0.044	0.246	0.036
1953	0.654	0.848	0.004
1954	0.542	0.662	0.78
1955	0.738	0.304	0.045
1956	0.176	0.116	0.789
1958	0.07	0.161	0.845
1960	0.834	0.612	0.264
1961	0.82	0.265	0.915
1962	0.744	0.982	0.423
1963	0.175	0.083	0.018
1965	0.505	0.7	0.097
1966	0.194	0.664	0.148
1968	0.047	0.037	0.664
1969	0.256	0.356	0.492
1970	0.152	0.233	0.144
1972	0.49	0.608	0.386
1973	0.334	0.326	0.839
1974	0.193	0.66	0.396
1975	0.697	0.951	0.191
1976	0.246	0.168	0.457
1977	0.374	0.206	0.133
