rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	ionMass	retentionTimeInSeconds	id
5265	C62H54O	[M + Cl]-	C62H54O	0.1472361809045226	5.915924346213497	5.915924346213497	0.0	1	0.0	1.0123778805321384	1.0123778805321384	0.9799907515747447	849.3877	110.3	1506_CARA_HILIC_neg_SIRIUS_charge0_removed_10793
5266	C16H29N7	[M + Cl]-	C16H29N7	0.14673366834170856	1.0	1.0	0.0	1	0.0	NaN	NaN	-5.773847212516778	354.2158	34.603	3024_CARA_HILIC_neg_SIRIUS_charge0_removed_7546
5267	C9H12N2O12S2	[M + Cl]-	C9H12N2O12S2	0.14673366834170853	24.657683978524123	24.657683978524123	0.0	6	0.711418778486184	-2.381331135502783	2.381331135502783	-9.948973271724553	438.9482	133.529	1624_CARA_HILIC_neg_SIRIUS_charge0_removed_8277
5268	C13H17NO11S	[M - H]-	C13H17NO11S	0.14673366834170853	11.285778095007709	11.285778095007709	0.0	4	0.8170749635761061	-3.0022805565644184	3.0022805565644184	4.1748567061021955	394.0466	148.294	3061_CARA_HILIC_neg_SIRIUS_charge0_removed_3157
5269	C6H5Cl4F3N2O2	[M + Br]-	C6H5Cl4F3N2O2	0.14673366834170853	1.0046249689440314	1.0046249689440314	0.0	2	0.17899461664513275	2.426936890137507	2.4411335143767334	0.2217408273361854	412.8247	172.257	1809_CARA_HILIC_neg_SIRIUS_charge0_removed_512
5270	C10H4Cl2N2O3S2	[M + Br]-	C10H4Cl2N2O3S2	0.1462311557788945	-0.2664615066509004	-0.2664615066509004	0.0	2	0.08420327855694909	1.986253882480758	1.986253882480758	8.901975043639277	412.8266	171.808	3816_CARA_HILIC_neg_SIRIUS_charge0_removed_777
5271	C20H30N4O12S	[M - H]-	C20H30N4O12S	0.14472361809045228	11.487574940302181	11.487574940302181	0.0	6	0.9702334789265992	1.1056872237818305	1.4371635191386245	1.2438317852319738	549.1515	83.047	4552_CARA_HILIC_neg_SIRIUS_charge0_removed_8241
5272	C43H83N9	[M + Br]-	C43H83N9	0.14422110552763817	0.8839450530843425	0.8839450530843425	0.0	1	0.0	-1.377648111282616	1.377648111282616	-3.5164800167118986	804.5932	94.953	2484_CARA_HILIC_neg_SIRIUS_charge0_removed_9890
5273	C35H42N6O12	[M - H]-	C35H42N6O12	0.14371859296482412	19.023602431586575	19.023602431586575	0.0	7	0.8475365223602908	-0.7143768495356938	7.98435940885479	5.433014428771992	737.2828	157.287	3056_CARA_HILIC_neg_SIRIUS_charge0_removed_11019
5274	C46H42O13	[M + Cl]-	C46H42O13	0.14271356783919598	6.015795388042947	6.015795388042947	0.0	2	0.9790154679541491	-1.83010425542152	1.83010425542152	-3.3953238240345667	837.2291	151.652	2873_CARA_HILIC_neg_SIRIUS_charge0_removed_6878
