FAMILY_ID	row_id	p_cat_dir|base|sebum	p_cat_dir|base|skicon	p_cat_dir|groups|oily-norm	p_cat_dir|groups|skicon	p_cat_dir|oily|exfol	p_cat_dir|oily|F-B	p_cat_dir|oily|F-B|A	p_cat_dir|oily|F-B|B	p_cat_dir|oily|F-B|B-A	p_cat_dir|oily|F-B|C	p_cat_dir|oily|F-B|C-A	p_cat_dir|oily|F-B|C-B	p_cat_dir|oily|sebum	p_cat_dir|oily|skicon
X951409	1409	Up, < 0.1				Dn, < 0.1									
X951457	1457						Up, < 0.1				Up, < 0.1				
X960001	1								Up, < 0.01	Up, < 0.01			Dn, < 0.1	Dn, < 0.1	
X960003	3		Dn, < 0.1		Dn, < 0.1	Up, < 0.001									
X960004	4		Dn, < 0.1		Dn, < 0.1		Up, < 0.001	Up, < 0.01			Up, < 0.01			Up, < 0.1	Dn, < 0.01
X960005	5					Up, < 0.01									
X960009	9									Up, < 0.1				Dn, < 0.1	
X960016	16	Dn, < 0.1	Dn, < 0.1		Dn, < 0.1										
X960019	19														Dn, < 0.1
X960021	21					Up, < 0.1									
X960022	22					Up, < 0.1									
X960023	23							Up, < 0.1		Dn, < 0.1		Dn, < 0.1			
X960025	25			Up, < 0.1											
X960026	26	Up, < 0.1							Dn, < 0.1	Dn, < 0.1			Up, < 0.1		
X960027	27														Up, < 0.1
X960028	28		Dn, < 0.1		Dn, < 0.1									Up, < 0.1	Dn, < 0.1
X960029	29							Dn, < 0.1		Up, < 0.1					
X960030	30					Up, < 0.1									
X960033	33								Dn, < 0.1				Up, < 0.1		
X960035	35	Up, < 0.1													
X960037	37										Up, < 0.1				
X960039	39								Up, < 0.01						
X960040	40		Up, < 0.1		Up, < 0.1										
X960044	44		Up, < 0.1		Up, < 0.1										
X960048	48		Dn, < 0.01		Dn, < 0.01		Dn, < 0.001	Dn, < 0.1	Dn, < 0.1		Dn, < 0.01				Dn, < 0.1
X960049	49													Dn, < 0.1	
X960050	50					Dn, < 0.1									
X960051	51	Dn, < 0.1				Up, < 0.1			Up, < 0.1						
X960055	55	Dn, < 0.1									Up, < 0.1	Up, < 0.1		Dn, < 0.01	
X960058	58										Up, < 0.1		Up, < 0.1		
X960059	59	Dn, < 0.01		Dn, < 0.01										Dn, < 0.1	
X960061	61	Dn, < 0.01		Dn, < 0.01							Up, < 0.1				
X960064	64		Dn, < 0.1		Dn, < 0.01	Up, < 0.1									Dn, < 0.1
X960069	69		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X960070	70								Up, < 0.1				Dn, < 0.1		
X960071	71		Up, < 0.1		Up, < 0.1		Dn, < 0.1	Dn, < 0.1	Dn, < 0.1						
X960072	72					Up, < 0.1			Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X960073	73	Up, < 0.1													Up, < 0.1
X960074	74	Dn, < 0.01		Dn, < 0.01										Dn, < 0.1	
X960083	83		Dn, < 0.1		Dn, < 0.1									Dn, < 0.1	Dn, < 0.01
X960086	86	Up, < 0.1													
X960090	90					Up, < 0.1			Up, < 0.1				Dn, < 0.1		
X960092	92	Dn, < 0.1		Dn, < 0.1				Dn, < 0.1		Up, < 0.1				Dn, < 0.1	
X960093	93					Up, < 0.1				Up, < 0.1					
X960096	96						Up, < 0.1				Up, < 0.1				
X960097	97		Up, < 0.1		Up, < 0.1										
X960098	98												Dn, < 0.1		
X960099	99					Up, < 0.01									
X960102	102													Dn, < 0.1	
X960106	106		Dn, < 0.01		Dn, < 0.01										Dn, < 0.1
X960108	108					Up, < 0.01									Dn, < 0.1
X960112	112						Up, < 0.1								
X960113	113	Dn, < 0.1	Up, < 0.001		Up, < 0.001	Dn, < 0.1					Up, < 0.1		Up, < 0.1	Dn, < 0.1	Up, < 0.1
X960114	114		Dn, < 0.1		Dn, < 0.1										
X960115	115		Up, < 0.1		Up, < 0.1										
X960120	120					Up, < 0.1									
X960122	122					Up, < 0.01			Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X960125	125					Dn, < 0.1									
X960126	126					Up, < 0.1			Dn, < 0.1						Up, < 0.1
X960129	129									Dn, < 0.1					
X960130	130		Up, < 0.1											Dn, < 0.1	
X960131	131		Up, < 0.1		Up, < 0.1		Dn, < 0.001	Dn, < 0.001	Dn, < 0.1		Dn, < 0.01				
X960136	136														Dn, < 0.1
X960137	137		Up, < 0.1		Up, < 0.1						Up, < 0.1			Dn, < 0.1	
X960146	146	Up, < 0.1													
X960149	149	Dn, < 0.1												Dn, < 0.01	
X960152	152								Dn, < 0.1						
X960153	153					Dn, < 0.1			Up, < 0.1				Dn, < 0.1		
X960154	154		Up, < 0.1		Up, < 0.1										
X960160	160					Dn, < 0.1			Up, < 0.1						
X960162	162	Dn, < 0.1							Up, < 0.1					Dn, < 0.1	
X960164	164					Up, < 0.1			Up, < 0.001	Up, < 0.01			Dn, < 0.001		
X960169	169					Up, < 0.1									
X960171	171	Up, < 0.1													
X960174	174		Up, < 0.1		Up, < 0.1	Up, < 0.1			Dn, < 0.1				Up, < 0.1		
X960175	175					Up, < 0.1	Dn, < 0.1		Dn, < 0.1						
X960176	176	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1		Up, < 0.1		Up, < 0.1		Up, < 0.01				Dn, < 0.1
X960177	177						Dn, < 0.1							Dn, < 0.1	
X960178	178												Dn, < 0.1		
X960179	179										Dn, < 0.1				
X960184	184					Up, < 0.1			Up, < 0.1				Dn, < 0.1		
X960187	187		Dn, < 0.01		Dn, < 0.01										
X960189	189					Up, < 0.001									
X960193	193				Dn, < 0.1									Dn, < 0.1	
X960197	197		Up, < 0.01	Dn, < 0.1	Up, < 0.01										Up, < 0.01
X960199	199													Dn, < 0.1	
X960203	203					Dn, < 0.1								Dn, < 0.1	
X960208	208					Up, < 0.1									
X960214	214		Up, < 0.1	Dn, < 0.1	Up, < 0.1		Up, < 0.1								Up, < 0.1
X960216	216		Up, < 0.1	Dn, < 0.1	Up, < 0.1										Up, < 0.1
X960221	221	Up, < 0.1		Up, < 0.1											
X960222	222	Dn, < 0.01		Dn, < 0.001											
X960224	224								Up, < 0.1	Up, < 0.1			Dn, < 0.1		Dn, < 0.1
X960226	226													Dn, < 0.1	
X960229	229													Dn, < 0.1	
X960231	231						Dn, < 0.001	Dn, < 0.001	Dn, < 0.001		Dn, < 0.001				
X960235	235										Up, < 0.1				
X960238	238	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1		Up, < 0.1							Up, < 0.01
X960239	239	Dn, < 0.1													
X960241	241					Up, < 0.01									
X960242	242	Up, < 0.1													
X960244	244		Dn, < 0.01		Dn, < 0.01	Up, < 0.1	Up, < 0.1		Up, < 0.1						Dn, < 0.1
X960245	245			Up, < 0.1											
X960249	249					Up, < 0.1	Up, < 0.1								
X960250	250		Up, < 0.1		Up, < 0.1										
X960252	252		Dn, < 0.1		Dn, < 0.1			Up, < 0.1				Dn, < 0.1			Dn, < 0.1
X960255	255					Up, < 0.1			Up, < 0.1						
X960263	263		Up, < 0.1		Up, < 0.1		Dn, < 0.01	Dn, < 0.1	Dn, < 0.1		Dn, < 0.01				
X960264	264													Up, < 0.1	
X960266	266		Dn, < 0.01		Dn, < 0.01						Dn, < 0.1	Dn, < 0.1			Dn, < 0.1
X960267	267						Dn, < 0.1								Dn, < 0.1
X960268	268		Up, < 0.1		Up, < 0.1		Up, < 0.1	Up, < 0.1		Dn, < 0.1				Up, < 0.1	
X960274	274					Up, < 0.1			Up, < 0.1				Dn, < 0.1		Dn, < 0.1
X960279	279	Up, < 0.01		Up, < 0.1											
X960302	302		Dn, < 0.1	Up, < 0.1	Dn, < 0.1										Dn, < 0.1
X960303	303								Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X960304	304								Dn, < 0.1		Up, < 0.1		Up, < 0.1		
X960312	312			Up, < 0.1	Dn, < 0.1										Dn, < 0.1
X960318	318				Dn, < 0.1									Dn, < 0.1	
X960319	319					Up, < 0.1									
X960322	322														Dn, < 0.001
X960327	327			Up, < 0.1			Dn, < 0.1							Dn, < 0.1	
X960331	331								Up, < 0.1	Up, < 0.1			Dn, < 0.1		
X960338	338	Up, < 0.1		Up, < 0.1			Dn, < 0.1				Dn, < 0.01		Dn, < 0.1		
X960339	339			Up, < 0.1											
X960341	341					Up, < 0.1	Dn, < 0.1		Dn, < 0.1				Up, < 0.1	Dn, < 0.1	
X960342	342	Up, < 0.01		Up, < 0.1										Up, < 0.1	
X960344	344		Up, < 0.1	Up, < 0.1							Dn, < 0.1	Dn, < 0.1			
X960347	347					Up, < 0.1									
X960348	348	Dn, < 0.1				Up, < 0.1		Up, < 0.1	Up, < 0.1						
X960351	351								Up, < 0.1						
X960354	354					Up, < 0.1	Dn, < 0.1		Dn, < 0.01	Dn, < 0.01			Up, < 0.1		
X960360	360	Up, < 0.1		Up, < 0.1											
X960362	362					Up, < 0.1									
X960365	365		Dn, < 0.1		Dn, < 0.1		Up, < 0.001	Up, < 0.1	Up, < 0.1		Up, < 0.01			Up, < 0.1	Dn, < 0.1
X960368	368								Up, < 0.1						
X960373	373													Dn, < 0.1	
X960374	374	Up, < 0.1									Up, < 0.1		Up, < 0.1		
X960381	381														Dn, < 0.1
X960383	383								Up, < 0.1	Up, < 0.1					
X960386	386						Up, < 0.1	Up, < 0.1		Dn, < 0.1				Up, < 0.1	
X960387	387			Up, < 0.1											
X960394	394			Dn, < 0.1											
