FAMILY_ID	row_id	p_value|base|sebum	p_value|base|skicon	p_value|groups|oily-norm	p_value|groups|skicon	p_value|oily|exfol	p_value|oily|F-B	p_value|oily|F-B|A	p_value|oily|F-B|B	p_value|oily|F-B|B-A	p_value|oily|F-B|C	p_value|oily|F-B|C-A	p_value|oily|F-B|C-B	p_value|oily|sebum	p_value|oily|skicon
X941817	1817	0.828	0.949	0.484	0.911	0.672	0.402	0.431	0.002	0.009	0.035	0.042	0.628	0.037	0.531
X941887	1887	0.006	0.479	0.006	0.532	0.303	0.489	0.474	0.578	0.848	0.352	0.246	0.286	0.119	0.666
X941902	1902	0.4	0.759	0.363	0.744	0.491	0.151	0.07	0.187	0.028	0.063	0.968	0.025	0.339	0.545
X942011	2011	0.627	0.154	0.529	0.152	0.152	0.285	0.921	0.035	0.147	0.643	0.797	0.086	0.907	0.286
X942026	2026	0.055	0.145	0.275	0.198	0.633	0.931	0.88	0.133	0.276	0.487	0.699	0.135	0.367	0.299
X942039	2039	0.897	0.837	0.734	0.821	0.486	0.258	0.162	0.146	0.892	0.501	0.145	0.149	0.563	0.188
X942075	2075	0.328	0.365	0.416	0.39	0.883	0.457	0.528	0.657	0.443	0.202	0.642	0.207	0.94	0.713
X942094	2094	0.252	0.027	0.328	0.03	0.005	0.167	0.035	0.816	0.076	0.793	0.091	0.959	0.299	0.953
X942128	2128	0.408	0.121	0.377	0.123	0.135	0.869	0.411	0.677	0.716	0.502	0.293	0.435	0.99	0.56
X942191	2191	0.573	0.05	0.532	0.035	0.004	0.104	0.349	0.411	0.849	0.314	0.96	0.807	0.471	0.009
X942237	2237	0.041	0.362	0.261	0.465	0.091	0.579	0.752	0.913	0.864	0.186	0.246	0.277	0.827	0.943
X942303	2303	0.47	0.881	0.303	0.87	0.042	0.343	0.3	0.586	0.254	0.46	0.831	0.361	0.28	0.919
X942319	2319	0.039	0.588	0.096	0.518	0.331	0.579	0.703	0.555	0.929	0.417	0.759	0.807	0.809	0.387
X942359	2359	0.123	0.054	0.181	0.063	0.002	0.23	0.138	0.476	0.489	0.759	0.204	0.488	0.56	0.491
X942398	2398	0.016	0.947	0.238	0.783	0.084	0.068	0.722	0.58	0.53	0.839	0.693	0.841	0.007	0.337
X942402	2402	0.462	0.566	0.323	0.559	0.531	0.053	0.347	0.779	0.588	0.179	0.77	0.392	0.179	0.458
X942429	2429	0.341	0.517	0.252	0.509	0.96	0.595	0.163	0.086	0.032	0.225	0.894	0.044	0.836	0.389
X942467	2467	0.78	0.578	0.433	0.543	0.496	0.522	0.854	0.296	0.592	0.627	0.635	0.297	0.817	0.092
X942487	2487	0.436	0.782	0.213	0.757	0.175	0.636	0.404	0.529	0.298	0.818	0.452	0.818	0.301	0.97
X942489	2489	0.458	0.865	0.126	0.915	0.511	0.53	0.56	0.612	0.904	0.005	0.017	0.013	0.94	0.786
X942490	2490	0.901	0.065	0.613	0.058	0.278	0.315	0.419	0.414	0.925	0.485	0.288	0.291	0.853	0.055
X942504	2504	0.783	0.855	0.781	0.799	0.146	0.157	0.622	0.008	0.162	0.77	0.579	0.049	0.958	0.504
X950002	2	0.342	0.801	0.663	0.735	0.918	0.974	0.182	0.487	0.144	0.557	0.591	0.371	0.641	0.722
X950003	3	0.937	0.249	0.453	0.209	0.49	0.001	0.002	0.063	0.178	0.004	0.791	0.285	0.398	0.703
X950005	5	0.591	0.619	0.551	0.624	0.169	0.305	0.495	0.904	0.656	0.877	0.708	0.967	0.34	0.829
X950006	6	0.731	0.215	0.543	0.173	0.081	0.141	0.727	0.23	0.609	0.47	0.791	0.822	0.883	0.144
X950007	7	0.018	0.482	0.057	0.569	0.841	0.687	0.353	0.615	0.696	0.892	0.451	0.669	0.495	0.439
X950008	8	0.654	0.357	0.299	0.325	0.003	0.498	0.048	0.992	0.125	0.812	0.115	0.861	0.713	0.135
X950010	10	0.768	0.098	0.3	0.081	0.003	0.553	0.298	0.104	0.068	0.461	0.828	0.109	0.329	0.338
X950012	12	0.349	0.446	0.089	0.463	0.521	0.563	0.632	0.595	0.975	0.766	0.587	0.577	0.711	0.781
X950015	15	0.011	0.511	0.005	0.471	0.704	0.871	0.65	0.301	0.748	0.147	0.179	0.079	0.394	0.116
X950016	16	0.091	0.209	0.748	0.151	0.352	0.154	0.943	0.401	0.626	0.603	0.675	0.349	0.106	0.087
X950017	17	0.034	0.099	0.053	0.117	0.381	0.012	0.007	0.072	0.335	0.626	0.024	0.125	0.553	0.094
X950018	18	0.003	0.002	0.046	0.005	0.908	0.145	0.679	0.003	0.093	0.843	0.878	0.067	0.171	0.132
X950020	20	0.416	0.303	0.359	0.294	0.004	0.551	0.679	0.063	0.129	0.755	0.943	0.149	0.897	0.8
X950023	23	0.002	0.666	0.159	0.497	0.269	0.214	0.567	0.747	0.519	0.243	0.67	0.271	0.733	0.064
X950027	27	0.882	0.304	0.427	0.27	0.354	0.76	0.393	0.945	0.541	0.577	0.833	0.702	0.247	0.834
X950028	28	0.047	0.539	0.536	0.417	0.141	0.397	0.589	0.438	0.363	0.528	0.408	0.987	0.494	0.018
X950032	32	0.272	0.053	0.091	0.046	0.507	0.03	0.481	0.147	0.686	0.642	0.864	0.556	0.43	0.046
X950034	34	0.608	0.221	0.843	0.186	0.941	0.366	0.319	0.73	0.586	0.368	0.183	0.363	0.42	0.48
X950035	35	0.123	0.395	0.374	0.469	0.527	0.713	0.857	0.097	0.225	0.306	0.394	0.764	0.032	0.072
X950036	36	0.593	0.457	0.907	0.404	0.853	0.281	0.585	0.352	0.855	0.304	0.267	0.169	0.23	0.323
X950037	37	0.371	0.929	0.136	0.897	0.02	0.269	0.793	0.025	0.201	0.324	0.377	0.029	0.824	0.846
X950040	40	0.532	0.106	0.651	0.113	0.157	0.564	0.591	0.121	0.159	0.526	0.945	0.139	0.721	0.083
X950041	41	0.116	0.131	0.527	0.1	0.745	0.353	0.838	0.98	0.888	0.247	0.335	0.365	0.071	0.055
X950042	42	0.688	0.128	0.61	0.101	0.418	0.361	0.423	0.14	0.12	0.015	0.224	0.006	0.695	0.541
X950044	44	0.063	0.135	0.041	0.141	0.027	0.573	0.867	0.224	0.361	0.78	0.937	0.319	0.797	0.469
X950045	45	0.94	0.135	0.652	0.143	0.21	0.394	0.648	0.56	0.469	0.956	0.776	0.677	0.172	0.12
X950046	46	0.024	0.007	0.123	0.012	0.488	0.342	0.02	0.181	0.009	0.837	0.125	0.308	0.679	0.062
X950048	48	0.828	0.132	0.84	0.129	0.04	0.938	0.409	0.255	0.175	0.466	0.945	0.199	0.937	0.637
X950052	52	0.187	0.502	0.312	0.551	0.961	0.495	0.573	0.814	0.561	0.901	0.627	0.956	0.118	0.329
X950053	53	0.033	0.107	0.04	0.124	0.113	0.899	0.667	0.967	0.722	0.654	0.535	0.752	0.985	0.516
X950054	54	0.893	0.757	0.783	0.747	0.01	0.278	0.09	0.268	0.545	0.415	0.52	0.927	0.218	0.832
X950055	55	0.558	0.296	0.78	0.246	0.895	0.239	0.877	0.068	0.192	0.669	0.68	0.386	0.738	0.485
X950056	56	0.055	0.401	0.288	0.327	0.673	0.36	0.824	0.733	0.697	0.453	0.708	0.428	0.93	0.009
X950058	58	0.027	0.777	0.145	0.666	0.907	0.541	0.032	0.575	0.045	0.521	0.27	0.395	0.058	0.095
X950061	61	0.146	0.4	0.097	0.409	0	0.811	0.832	0.695	0.928	0.313	0.388	0.306	0.633	0.261
X950065	65	0.012	0.745	0.029	0.661	0.51	0.191	0.825	0.67	0.916	0.396	0.449	0.357	0.026	0.197
