FAMILY_ID	row_id	p_value|base|sebum	p_value|base|skicon	p_value|groups|oily-norm	p_value|groups|skicon	p_value|oily|exfol	p_value|oily|F-B	p_value|oily|F-B|A	p_value|oily|F-B|B	p_value|oily|F-B|B-A	p_value|oily|F-B|C	p_value|oily|F-B|C-A	p_value|oily|F-B|C-B	p_value|oily|sebum	p_value|oily|skicon
X960274	274	0.756	0.342	0.848	0.308	0.037	0.891	0.966	0.012	0.103	0.239	0.387	0.013	0.538	0.067
X960276	276	0.587	0.655	0.609	0.669	0.529	0.162	0.162	0.424	0.571	0.796	0.415	0.75	0.925	0.403
X960277	277	0.411	0.168	0.988	0.209	0.625	0.863	0.673	0.695	0.944	0.5	0.439	0.443	0.214	0.161
X960279	279	0.008	0.102	0.037	0.142	0.646	0.833	0.534	0.754	0.498	0.178	0.601	0.217	0.231	0.372
X960288	288	0.437	0.523	0.502	0.546	0.217	0.98	0.713	0.595	0.533	0.925	0.744	0.787	0.998	0.647
X960290	290	0.145	0.86	0.858	0.989	0.259	0.43	0.838	0.485	0.545	0.43	0.677	0.294	0.25	0.352
X960297	297	0.684	0.162	0.856	0.139	0.631	0.743	0.147	0.834	0.325	0.762	0.215	0.714	0.66	0.612
X960302	302	0.193	0.031	0.053	0.026	0.155	0.347	0.693	0.157	0.536	0.113	0.392	0.756	0.993	0.011
X960303	303	0.545	0.56	0.333	0.533	0.771	0.503	0.712	0.013	0.051	0.691	0.984	0.049	0.52	0.636
X960304	304	0.32	0.717	0.476	0.764	0.608	0.571	0.846	0.069	0.299	0.061	0.141	0.011	0.472	0.85
X960306	306	0.323	0.47	0.477	0.509	0.439	0.531	0.873	0.245	0.383	0.716	0.885	0.305	0.957	0.343
X960309	309	0.233	0.459	0.221	0.437	0.366	0.947	0.9	0.444	0.691	0.393	0.605	0.871	0.203	0.238
X960312	312	0.814	0.105	0.058	0.065	0.867	0.24	0.356	0.506	0.778	0.883	0.449	0.589	0.972	0.074
X960315	315	0.71	0.7	0.816	0.72	0.723	0.16	0.199	0.238	0.819	0.893	0.314	0.387	0.776	0.951
X960318	318	0.211	0.114	0.566	0.092	0.284	0.268	0.759	0.607	0.572	0.967	0.851	0.717	0.045	0.165
X960319	319	0.557	0.664	0.533	0.673	0.079	0.499	0.74	0.921	0.849	0.192	0.486	0.346	0.655	0.382
X960322	322	0.212	0.104	0.459	0.127	0.986	0.988	0.696	0.176	0.562	0.797	0.647	0.285	0.915	0
X960327	327	0.27	0.279	0.036	0.234	0.641	0.012	0.173	0.261	0.744	0.962	0.316	0.446	0.028	0.957
X960331	331	0.506	0.185	0.671	0.169	0.264	0.405	0.749	0.025	0.088	0.332	0.643	0.03	0.539	0.606
X960336	336	0.384	0.23	0.341	0.221	0.271	0.541	0.498	0.411	0.992	0.569	0.379	0.336	0.898	0.836
X960338	338	0.085	0.365	0.042	0.369	0.422	0.024	0.363	0.53	0.768	0.004	0.137	0.059	0.361	0.615
X960339	339	0.44	0.68	0.047	0.756	0.876	0.455	0.557	0.794	0.537	0.875	0.761	0.773	0.152	0.345
X960341	341	0.328	0.356	0.973	0.438	0.01	0.036	0.389	0.027	0.422	0.296	0.18	0.028	0.077	0.281
X960342	342	0.008	0.233	0.014	0.195	0.179	0.416	0.866	0.247	0.535	0.46	0.52	0.192	0.055	0.136
X960344	344	0.205	0.094	0.011	0.1	0.812	0.215	0.681	0.124	0.191	0.017	0.046	0.374	0.601	0.827
X960347	347	0.452	0.546	0.886	0.609	0.044	0.864	0.913	0.411	0.655	0.613	0.664	0.361	0.759	0.906
X960348	348	0.016	0.151	0.137	0.218	0.016	0.125	0.08	0.055	0.917	0.621	0.113	0.107	0.737	0.484
X960350	350	0.667	0.39	0.565	0.389	0.565	0.684	0.643	0.896	0.66	0.975	0.726	0.952	0.531	0.469
X960351	351	0.456	0.909	0.5	0.884	0.39	0.436	0.585	0.06	0.103	0.433	0.348	0.526	0.895	0.303
X960352	352	0.784	0.358	0.718	0.356	0.824	0.123	0.408	0.245	0.906	0.198	0.739	0.808	0.646	0.618
X960353	353	0.749	0.601	0.708	0.603	0.376	0.869	0.48	0.937	0.624	0.386	0.268	0.474	0.407	0.325
X960354	354	0.77	0.665	0.757	0.659	0.071	0.072	0.454	0.002	0.009	0.936	0.557	0.041	0.523	0.346
X960357	357	0.329	0.401	0.534	0.441	0.953	0.47	0.845	0.801	0.755	0.268	0.356	0.49	0.472	0.388
X960360	360	0.064	0.955	0.082	0.988	0.983	0.252	0.189	0.114	0.991	0.697	0.225	0.188	0.718	0.293
X960362	362	0.871	0.913	0.713	0.898	0.026	0.517	0.742	0.185	0.543	0.94	0.857	0.423	0.865	0.452
X960363	363	0.986	0.712	0.416	0.778	0.29	0.381	0.764	0.418	0.769	0.32	0.621	0.808	0.681	0.608
X960365	365	0.383	0.096	0.633	0.083	0.391	0	0.026	0.058	0.609	0.007	0.701	0.356	0.084	0.075
X960368	368	0.286	0.326	0.301	0.343	0.607	0.272	0.912	0.087	0.232	0.465	0.552	0.575	0.931	0.988
X960372	372	0.438	0.22	0.225	0.224	0.196	0.338	0.718	0.722	0.614	0.165	0.462	0.197	0.47	0.974
X960373	373	0.753	0.574	0.83	0.558	0.179	0.254	0.428	0.556	0.819	0.474	0.288	0.355	0.087	0.939
X960374	374	0.073	0.664	0.306	0.774	0.201	0.348	0.169	0.385	0.11	0.059	0.703	0.047	0.717	0.354
X960376	376	0.289	0.983	0.485	0.958	0.197	0.808	0.827	0.999	0.867	0.837	0.993	0.874	0.333	0.338
X960377	377	0.133	0.162	0.882	0.233	0.802	0.675	0.666	0.334	0.338	0.513	0.874	0.261	0.323	0.854
X960379	379	0.394	0.167	0.976	0.209	0.685	0.993	0.546	0.878	0.716	0.443	0.334	0.493	0.873	0.706
X960381	381	0.821	0.104	0.955	0.111	0.792	0.722	0.671	0.403	0.389	0.204	0.545	0.134	0.599	0.068
X960383	383	0.986	0.82	0.826	0.836	0.514	0.232	0.601	0.017	0.051	0.379	0.323	0.351	0.724	0.955
X960385	385	0.141	0.898	0.386	0.81	0.346	0.446	0.214	0.997	0.338	0.493	0.689	0.597	0.981	0.515
X960386	386	0.821	0.726	0.217	0.643	0.52	0.066	0.042	0.903	0.099	0.624	0.261	0.65	0.086	0.611
X960387	387	0.501	0.978	0.089	0.902	0.924	0.598	0.815	0.459	0.765	0.739	0.944	0.824	0.472	0.548
X960390	390	0.415	0.282	0.884	0.346	0.958	0.967	0.548	0.443	0.972	0.469	0.351	0.297	0.744	0.823
X960394	394	0.627	0.445	0.096	0.507	0.335	0.236	0.464	0.245	0.847	0.755	0.461	0.323	0.775	0.588
X960398	398	0.606	0.001	0.121	0.001	0.236	0.201	0.655	0.574	0.482	0.748	0.929	0.544	0.185	0.008
X960401	401	0.064	0.2	0.375	0.272	0.898	0.129	0.957	0.768	0.885	0.049	0.153	0.088	0.107	0.661
X960403	403	0.572	0.577	0.457	0.572	0.162	0.429	0.885	0.548	0.782	0.671	0.688	0.478	0.36	0.031
X960404	404	0.037	0.058	0.111	0.079	0.187	0.074	0.692	0.394	0.395	0.545	0.882	0.313	0.002	0.687
X960408	408	0.908	0.727	0.933	0.745	0.81	0.58	0.136	0.504	0.118	0.272	0.07	0.677	0.136	0.474
X960410	410	0.689	0.748	0.666	0.754	0.805	0.902	0.69	0.24	0.289	0.816	0.907	0.349	0.865	0.152
X960411	411	0.907	0.305	0.978	0.297	0.418	0.004	0.057	0.003	0.61	0.007	0.522	0.854	0.012	0.646
X960412	412	0.423	0.567	0.966	0.495	0.449	0.17	0.186	0.027	0.656	0.376	0.751	0.431	0.12	0.937
X960414	414	0.626	0.706	0.145	0.772	0.072	0.277	0.679	0.448	0.421	0.095	0.365	0.079	0.467	0.433
X960419	419	0.119	0.103	0.021	0.088	0.193	0.126	0.064	0.935	0.138	0.345	0.504	0.437	0.162	0.268
X960421	421	0.837	0.171	0.463	0.184	0.779	0.561	0.939	0.558	0.663	0.991	0.951	0.712	0.334	0.216
X960423	423	0.509	0.803	0.516	0.819	0.128	0.172	0.31	0.056	0.634	0.348	0.957	0.593	0.408	0.822
X960425	425	0.047	0.352	0.004	0.317	0.5	0.004	0.062	0.008	0.755	0.005	0.463	0.628	0.17	0.3
X960426	426	0.482	0.591	0.771	0.545	0.083	0.3	0.37	0.132	0.77	0.334	0.961	0.81	0.327	0.377
X960427	427	0.976	0.501	0.667	0.471	0.539	0.377	0.385	0.75	0.384	0.954	0.511	0.872	0.255	0.907
X960428	428	0.524	0.939	0.983	0.986	0.006	0.815	0.66	0.338	0.341	0.909	0.818	0.48	0.551	0.516
X960430	430	0.55	0.968	0.487	0.962	0.082	0.85	0.882	0.062	0.185	0.359	0.585	0.059	0.613	0.519
X960431	431	0.312	0.136	0.07	0.114	0.628	0.988	0.522	0.077	0.503	0.548	0.381	0.11	0.319	0.075
X960434	434	0.718	0.553	0.761	0.496	0.118	0.184	0.375	0.217	0.905	0.606	0.322	0.236	0.477	0.139
X960435	435	0.461	0.569	0.652	0.607	0.971	0.84	0.927	0.477	0.697	0.207	0.336	0.156	0.562	0.248
X960439	439	0.136	0.22	0.132	0.235	0.051	0.377	0.996	0.161	0.362	0.121	0.268	0.77	0.073	0.127
X960443	443	0.427	0.892	0.539	0.928	0.421	0.384	0.218	0.779	0.261	0.967	0.397	0.832	0.287	0.405
X960445	445	0.426	0.235	0.672	0.21	0.039	0.882	0.619	0.778	0.841	0.839	0.62	0.736	0.622	0.216
X960446	446	0.31	0.671	0.098	0.637	0.475	0.362	0.984	0.103	0.296	0.449	0.602	0.628	0.532	0.647
X960447	447	0.99	0.003	0.447	0.002	0.798	0.579	0.416	0.991	0.528	0.95	0.595	0.956	0.635	0.081
X960452	452	0.149	0.023	0.839	0.016	0.089	0.493	0.363	0.453	0.24	0.644	0.333	0.896	0.193	0.042
X960463	463	0.762	0.942	0.119	0.835	0.004	0.197	0.519	0.757	0.489	0.1	0.469	0.144	0.382	0.913
X960465	465	0.222	0.181	0.295	0.163	0.227	0.265	0.632	0.703	0.903	0.175	0.195	0.2	0.107	0.755
X960478	478	0.836	0.361	0.286	0.31	0.25	0.609	0.494	0.582	0.864	0.582	0.924	0.946	0.993	0.15
X960480	480	0.192	0.66	0.624	0.57	0.05	0.192	0.124	0.419	0.092	0.392	0.621	0.242	0.344	0.635
X960481	481	0.183	0.457	0.096	0.449	0.571	0.253	0.531	0.26	0.803	0.949	0.625	0.437	0.363	0.219
X960483	483	0.815	0.217	0.381	0.19	0.002	0.296	0.239	0.026	0.571	0.817	0.319	0.104	0.374	0.388
X960485	485	0.181	0.369	0.454	0.432	0	0.66	0.96	0.953	1	0.267	0.451	0.414	0.886	0.969
X960490	490	0.964	0.073	0.148	0.048	0.162	0.016	0.401	0.505	0.285	0.397	0.995	0.283	0.005	0.005
X960493	493	0.586	0.493	0.396	0.479	0.976	0.401	0.265	0.673	0.262	0.552	0.709	0.468	0.795	0.15
X960494	494	0.351	0.033	0.788	0.043	0.913	0	0	0	0.455	0.001	0.518	0.962	0.833	0.8
X960496	496	0.811	0.577	0.545	0.552	0.002	0.928	0.507	0.535	0.913	0.723	0.472	0.503	0.28	0.568
X960501	501	0.184	0.262	0.163	0.274	0.031	0.512	0.893	0.892	0.849	0.877	0.837	0.975	0.441	0.378
X960513	513	0.093	0.204	0.076	0.216	0.025	0.514	0.992	0.442	0.615	0.949	0.958	0.655	0.551	0.456
X960516	516	0.621	0.019	0.621	0.018	0.073	0.677	0.182	0.057	0.027	0.967	0.357	0.204	0.234	0.361
X960529	529	0.49	0.397	0.434	0.401	0.033	0.557	0.254	0.53	0.635	0.653	0.621	0.952	0.574	0.479
X960538	538	0.318	0.112	0.543	0.096	0.008	0.458	0.605	0.346	0.317	0.946	0.75	0.509	0.226	0.034
X960542	542	0.195	0.853	0.353	0.918	0.237	0.794	0.956	0.279	0.459	0.175	0.354	0.086	0.718	0.694
X960544	544	0.528	0.819	0.752	0.919	0.23	0.216	0.294	0.361	0.167	0.857	0.384	0.651	0.049	0.186
X960550	550	0.353	0.044	0.153	0.039	0.739	0.909	0.08	0.176	0.029	0.967	0.201	0.398	0.774	0.55
X960551	551	0.021	0.723	0.081	0.628	0.203	0.652	0.858	0.127	0.393	0.802	0.96	0.423	0.007	0.783
X960553	553	0.309	0.602	0.23	0.592	0.054	0.06	0.117	0.042	0.902	0.139	0.949	0.847	0.453	0.286
X960557	557	0.029	0.935	0.012	0.907	0.896	0.151	0.215	0.319	0.754	0.137	0.057	0.078	0.117	0.405
X960575	575	0.439	0.094	0.206	0.086	0.838	0.997	0.643	0.788	0.594	0.678	0.531	0.837	0.6	0.154
X960577	577	0.613	0.112	0.399	0.105	0.091	0.92	0.128	0.689	0.358	0.293	0.072	0.289	0.526	0.287
X960589	589	0.143	0.125	0.336	0.153	0.875	0.827	0.966	0.726	0.847	0.604	0.736	0.863	0.791	0.472
X960591	591	0.182	0.913	0.135	0.956	0.964	0.873	0.333	0.491	0.763	0.985	0.507	0.673	0.103	0.626
X960592	592	0.666	0.036	0.077	0.026	0.113	0.037	0.762	0.402	0.741	0.036	0.088	0.035	0.062	0.001
X960596	596	0.456	0.255	0.302	0.255	0.027	0.39	0.53	0.5	0.362	0.013	0.174	0.02	0.861	0.577
X960611	611	0.351	0.267	0.229	0.262	0.256	0.723	0.132	0.342	0.08	0.771	0.383	0.404	0.296	0.229
X960612	612	0.052	0.246	0.019	0.245	0.147	0.237	0.743	0.332	0.706	0.132	0.398	0.588	0.336	0.036
X960616	616	0.503	0.328	0.681	0.304	0.19	0.374	0.141	0.382	0.564	0.803	0.382	0.709	0.377	0.666
X960632	632	0.172	0.105	0.198	0.116	0.093	0.269	0.594	0.198	0.668	0.182	0.564	0.844	0.328	0.603
X960635	635	0.541	0.006	0.249	0.005	0.001	0.825	0.561	0.322	0.845	0.242	0.217	0.128	0.975	0.008
X960636	636	0.405	0.003	0.017	0.001	0.086	0.353	0.993	0.728	0.828	0.756	0.831	0.989	0.383	0
X960639	639	0.817	0.299	0.98	0.314	0.113	0.447	0.886	0.921	0.862	0.536	0.736	0.591	0.113	0.058
X960643	643	0.961	0.786	0.499	0.721	0.187	0.196	0.523	0.453	0.995	0.542	0.983	0.987	0.386	0.879
X960651	651	0.092	0.7	0.238	0.784	0.247	0.966	0.274	0.941	0.428	0.984	0.43	0.95	0.054	0.619
X960658	658	0.138	0.153	0.117	0.161	0.411	0.693	0.873	0.269	0.553	0.347	0.579	0.994	0.198	0.767
X960659	659	0.146	0.53	0.017	0.479	0.86	0.055	0.119	0.663	0.354	0.999	0.266	0.778	0.181	0.391
X960666	666	0.08	0.655	0.073	0.689	0.044	0.617	0.852	0.91	0.944	0.592	0.805	0.735	0.931	0.656
X960667	667	0.071	0.955	0.288	0.846	0.17	0.329	0.816	0.383	0.7	0.192	0.444	0.656	0.905	0.821
X960672	672	0.527	0.195	0.323	0.184	0.108	0.145	0.218	0.301	0.11	0.77	0.501	0.374	0.238	0.044
X960673	673	0.459	0.123	0.313	0.118	0.429	0.736	0.962	0.057	0.227	0.99	0.98	0.217	0.009	0.2
X960683	683	0.294	0.985	0.265	0.964	0.16	0.367	0.985	0.545	0.685	0.492	0.636	0.361	0.124	0.739
X960684	684	0.321	0.796	0.453	0.841	0.281	0.488	0.469	0.358	0.97	0.6	0.886	0.847	0.451	0.863
X960692	692	0.76	0.187	0.421	0.199	0.424	0.037	0.582	0	0.031	0.461	0.893	0.043	0.596	0.959
X960693	693	0.182	0.008	0.043	0.006	0.668	0	0.001	0.016	0.251	0.002	0.82	0.364	0.954	0.702
X960712	712	0.926	0.662	0.482	0.594	0.72	0.233	0.321	0.878	0.39	0.196	0.109	0.37	0.006	0.839
X960719	719	0.115	0.057	0.134	0.064	0.241	0.246	0.293	0.519	0.693	0.06	0.541	0.294	0.191	0.493
X960720	720	0.274	0.082	0.032	0.061	0.633	0.957	0.052	0.908	0.115	0.029	0.004	0.106	0.779	0.697
X960726	726	0.63	0.166	0.413	0.156	0.398	0.747	0.944	0.529	0.724	0.846	0.851	0.579	0.856	0.049
X960743	743	0.736	0.526	0.508	0.54	0.101	0.116	0.294	0.383	0.806	0.088	0.054	0.064	0.006	0.558
X960748	748	0.489	0.182	0.588	0.169	0.008	0.705	0.81	0.719	0.677	0.584	0.828	0.515	0.488	0.028
X960751	751	0.116	0.742	0.028	0.752	0.047	0.044	0.12	0.279	0.612	0.397	0.607	0.96	0.409	0.414
X960760	760	0.814	0.716	0.986	0.742	0.459	0.536	0.329	0.758	0.345	0.282	0.942	0.307	0.714	0.556
X960764	764	0.849	0.35	0.805	0.306	0.543	0.033	0.058	0.822	0.185	0.142	0.622	0.364	0.223	0.953
X960788	788	0.056	0.946	0.074	0.995	0.667	0.58	0.665	0.861	0.827	0.468	0.835	0.657	0.929	0.675
X960792	792	0.22	0.165	0.142	0.164	0.379	0.886	0.89	0.679	0.873	0.865	0.982	0.892	0.599	0.976
X960793	793	0.324	0.827	0.78	0.696	0.985	0.163	0.595	0.87	0.609	0.965	0.73	0.889	0.022	0.399
X960795	795	0.919	0.754	0.963	0.76	0.307	0.248	0.953	0.057	0.199	0.473	0.582	0.485	0.95	0.801
X960796	796	0.704	0.648	0.701	0.655	0.03	0.757	0.596	0.753	0.544	0.678	0.935	0.604	0.8	0.37
X960803	803	0.136	0.002	0.047	0.001	0.004	0.481	0.328	0.451	0.22	0.623	0.3	0.913	0.155	0.454
X960807	807	0.657	0.015	0.172	0.01	0.093	0.535	0.424	0.945	0.511	0.68	0.392	0.786	0.365	0.135
X960837	837	0.198	0.06	0.038	0.049	0.858	0.351	0.197	0.873	0.274	0.359	0.121	0.547	0.634	0.058
X960841	841	0.709	0.82	0.251	0.759	0.328	0.304	0.89	0.913	0.972	0.177	0.291	0.268	0.179	0.939
X960843	843	0.197	0.439	0.724	0.533	0.132	0.121	0.534	0.043	0.392	0.216	0.191	0.026	0.197	0.408
X960848	848	0.77	0.709	0.412	0.745	0.445	0.73	0.954	0.688	0.763	0.779	0.811	0.965	0.936	0.866
X960850	850	0.961	0.779	0.691	0.749	0.824	0.623	0.661	0.271	0.298	0.236	0.592	0.109	0.567	0.565
X960851	851	0.389	0.984	0.394	0.994	0.057	0.803	0.188	0.457	0.139	0.796	0.449	0.499	0.934	0.224
X960857	857	0.707	0.271	0.494	0.258	0.132	0.94	0.913	0.2	0.455	0.722	0.862	0.576	0.065	0.554
X960865	865	0.069	0.899	0.251	0.797	0.765	0.112	0.435	0.511	0.31	0.435	1	0.31	0.023	0.457
X960870	870	0.027	0.122	0.18	0.175	0.308	0.031	0.025	0.018	0.846	0.065	0.765	0.896	0.051	0.442
X960875	875	0.366	0.775	0.507	0.732	0.339	0.295	0.57	0.551	0.959	0.077	0.099	0.083	0.154	0.581
X960883	883	0.261	0.002	0.2	0.002	0.606	0.015	0.076	0.05	0.923	0.006	0.449	0.36	0.05	0.164
X960884	884	0.815	0.271	0.607	0.275	0.463	0.861	0.678	0.379	0.796	0.204	0.234	0.127	0.594	0.91
X960892	892	0.783	0.108	0.722	0.107	0.066	0.683	0.889	0.41	0.671	0.833	0.804	0.489	0.338	0.02
X960894	894	0.44	0.668	0.654	0.712	0.726	0.048	0.049	0.179	0.504	0.406	0.405	0.814	0.72	0.531
X960910	910	0.168	0.823	0.236	0.836	0.114	0.099	0.216	0.84	0.454	0.014	0.233	0.067	0.586	0.211
X960911	911	0.321	0.883	0.404	0.921	0.127	0.161	0.954	0	0.02	0.655	0.783	0.039	0.657	0.102
X960920	920	0.504	0.396	0.525	0.407	0.509	0.978	0.503	0.067	0.092	0.409	0.292	0.57	0.069	0.784
X960934	934	0.548	0.041	0.916	0.048	0.401	0.069	0.328	0.808	0.551	0.031	0.385	0.129	0.33	0.302
X960939	939	0.678	0.737	0.713	0.814	0.544	0.567	0.108	0.762	0.153	0.673	0.151	0.898	0.564	0.69
X960943	943	0	0.655	0.001	0.791	0.328	0.481	0.396	0.384	0.929	0.045	0.397	0.315	0.152	0.518
X960944	944	0.843	0.935	0.917	0.948	0.118	0.019	0.651	0.325	0.328	0	0.003	0.022	0.467	0.338
X960969	969	0.072	0.623	0.353	0.524	0.429	0.813	0.378	0.116	0.727	0.521	0.283	0.134	0.303	0.598
X960972	972	0.627	0.338	0.407	0.346	0.909	0.05	0.375	0.501	0.268	0.023	0.304	0.03	0.072	0.337
X960974	974	0.533	0.145	0.19	0.125	0.55	0.564	0.5	0.881	0.674	0.831	0.531	0.795	0.135	0.241
X960981	981	0.451	0.502	0.961	0.439	0.136	0.246	0.313	0.444	0.208	0.531	0.249	0.989	0.059	0.407
X960991	991	0.609	0.949	0.777	0.982	0.226	0.822	0.086	0.346	0.057	0.572	0.107	0.86	0.448	0.616
X960998	998	0.052	0.428	0.345	0.543	0.138	0.537	0.714	0.562	0.926	0.949	0.761	0.673	0.031	0.985
X961012	1012	0.867	0.307	0.439	0.254	0.312	0.974	0.791	0.538	0.55	0.807	0.988	0.56	0.465	0.176
X961035	1035	0.742	0.929	0.884	0.954	0.191	0.931	0.57	0.19	0.678	0.539	0.404	0.19	0.091	0.785
X961077	1077	0.424	0.169	0.35	0.169	0.668	0.399	0.649	0.926	0.683	0.644	0.996	0.679	0.916	0.276
X961092	1092	0.047	0.52	0.343	0.648	0.561	0.42	0.63	0.029	0.075	0.422	0.365	0.407	0.385	0.995
X961096	1096	0.124	0.031	0.323	0.041	0.056	0.558	0.213	0.183	0.922	0.248	0.093	0.085	0.898	0.246
X961105	1105	0.226	0.932	0.771	0.821	0.214	0.554	0.256	0.014	0.442	0.192	0.087	0.011	0.238	0.594
X961124	1124	0.099	0.181	0.147	0.206	0.008	0.871	0.389	0.475	0.265	0.588	0.82	0.383	0.431	0.26
X961128	1128	0.815	0.691	0.169	0.552	0.64	0.18	0.496	0.897	0.661	0.351	0.256	0.425	0.159	0.049
X961151	1151	0.15	0.553	0.25	0.607	0.157	0.437	0.969	0.794	0.89	0.494	0.609	0.489	0.399	0.933
X961177	1177	0.078	0.142	0.269	0.184	0.209	0.26	0.237	0.707	0.252	0.438	0.769	0.404	0.444	0.445
X961180	1180	0.868	0.499	0.392	0.542	0.345	0.459	0.035	0.348	0.028	0.806	0.178	0.428	0.886	0.971
X961193	1193	0.914	0.639	0.33	0.569	0.701	0.074	0.651	0.094	0.454	0.672	0.984	0.441	0.321	0.549
X961214	1214	0.34	0.117	0.047	0.09	0.2	0.146	0.179	0.364	0.65	0.1	0.823	0.488	0.562	0.415
X961221	1221	0.308	0.089	0.421	0.099	0.635	0.436	0.414	0.085	0.616	0.839	0.663	0.332	0.13	0.348
X961226	1226	0.519	0.183	0.781	0.203	0.36	0.28	0.771	0.424	0.77	0.828	0.719	0.496	0.206	0.871
X961240	1240	0.966	0.663	0.868	0.679	0.235	0.859	0.56	0.703	0.84	0.723	0.508	0.606	0.713	0.259
X961242	1242	0.408	0.686	0.114	0.724	0.529	0.491	0.323	0.53	0.247	0.084	0.587	0.085	0.234	0.171
X961243	1243	0.918	0.006	0.838	0.006	0.291	0.964	0.349	0.843	0.399	0.393	0.208	0.597	0.247	0.003
X961246	1246	0.58	0.615	0.937	0.566	0.073	0.704	0.171	0.223	0.787	0.281	0.086	0.111	0.994	0.052
X961263	1263	0.804	0.089	0.404	0.065	0.107	0.985	0.907	0.225	0.382	0.474	0.556	0.811	0.159	0.294
X961282	1282	0.855	0.475	0.507	0.412	0.573	0.924	0.379	0.478	0.826	0.985	0.541	0.657	0.206	0.359
X961321	1321	0.917	0.004	0.31	0.003	0.052	0.708	0.41	0.201	0.844	0.518	0.3	0.19	0.198	0.004
X961325	1325	0.298	0.344	0.113	0.351	0.231	0.08	0.2	0.393	0.661	0.117	0.831	0.504	0.631	0.379
X961339	1339	0.024	0.207	0.025	0.181	0.815	0.632	0.036	0.465	0.241	0.233	0.499	0.653	0.068	0.014
X961365	1365	0.42	0.035	0.141	0.028	0.002	0.186	0.445	0.403	0.264	0.319	0.867	0.196	0.408	0.009
X961417	1417	0.848	0.941	0.788	0.943	0.203	0.237	0.973	0.638	0.742	0.983	0.993	0.75	0.09	0.74
X961423	1423	0.423	0.341	0.537	0.363	0.915	0.593	0.659	0.912	0.682	0.116	0.417	0.201	0.379	0.344
X961434	1434	0.635	0.177	0.158	0.143	0.072	0.064	0.918	0.749	0.776	0.043	0.128	0.17	0.447	0.058
X961485	1485	0.265	0.508	0.75	0.434	0.107	0.844	0.48	0.349	0.255	0.376	0.262	0.94	0.369	0.722
X961553	1553	0.228	0.983	0.617	0.924	0.49	0.614	0.319	0.654	0.632	0.657	0.693	0.959	0.023	0.424
X961577	1577	0.956	0.672	0.733	0.655	0.952	0.409	0.217	0.844	0.277	0.647	0.237	0.809	0.394	0.759
X961634	1634	0.183	0.783	0.42	0.862	0.476	0.404	0.198	0.627	0.495	0.082	0.74	0.3	0.127	0.439
X961684	1684	0.085	0.334	0.648	0.253	0.014	0.714	0.377	0.756	0.631	0.533	0.288	0.499	0.392	0.302
X961686	1686	0.349	0.605	0.843	0.559	0.752	0.534	0.389	0.737	0.387	0.957	0.534	0.864	0.363	0.775
X961738	1738	0.443	0.824	0.246	0.838	0.661	0.065	0.062	0.257	0.467	0.138	0.773	0.676	0.93	0.188
X961809	1809	0.511	0.348	0.97	0.304	0.003	0.048	0.288	0.009	0.345	0.171	0.823	0.48	0.34	0.298
X970002	2	0.644	0.014	0.125	0.009	0.095	0.579	0.225	0.545	0.584	0.415	0.154	0.313	0.552	0.019
X970003	3	0.596	0.984	0.748	0.926	0.267	0.946	0.666	0.572	0.973	0.62	0.963	0.987	0.284	0.146
X970007	7	0.347	0.167	0.194	0.16	0.035	0.516	0.317	0.355	0.176	0.836	0.393	0.661	0.105	0.863
X970008	8	0.368	0.04	0.489	0.044	0.423	0.706	0.23	0.945	0.38	0.659	0.587	0.769	0.175	0.104
X970010	10	0.753	0.053	0.549	0.04	0.001	0.364	0.901	0.36	0.493	0.285	0.501	0.162	0.298	0.015
X970011	11	0.412	0.242	0.238	0.244	0.013	0.139	0.661	0.055	0.115	0.485	0.423	0.466	0.386	0.084
X970013	13	0.731	0.278	0.817	0.245	0.001	0.676	0.714	0.5	0.877	0.534	0.486	0.364	0.503	0.115
X970015	15	0.001	0.115	0.008	0.175	0.54	0.277	0.009	0.767	0.027	0.773	0.089	0.681	0.967	0.332
X970016	16	0.266	0.211	0.225	0.219	0.348	0.927	0.091	0.887	0.159	0.209	0.039	0.38	0.743	0.186
X970017	17	0.459	0.606	0.787	0.66	0.642	0.554	0.224	0.693	0.494	0.407	0.781	0.701	0.629	0.327
X970018	18	0.605	0.696	0.099	0.608	0.703	0.228	0.265	0.247	0.113	0.273	0.99	0.116	0.51	0.095
X970022	22	0.376	0.075	0.224	0.071	0.998	0.442	0.308	0.214	0.982	0.164	0.787	0.787	0.46	0.096
X970024	24	0.928	0.097	0.423	0.08	0.002	0.997	0.569	0.496	0.998	0.123	0.137	0.107	0.57	0.153
X970026	26	0.971	0.938	0.612	0.979	0.988	0.314	0.624	0.428	0.377	0.369	0.771	0.233	0.109	0.857
X970027	27	0.652	0.182	0.211	0.119	0.101	0.018	0.5	0.497	0.937	0.11	0.502	0.421	0.219	0.028
X970029	29	0.855	0.367	0.594	0.32	0.354	0	0.004	0	0.773	0.001	0.675	0.867	0.454	0.606
X970030	30	0.79	0.561	0.719	0.558	0.206	0.862	0.761	0.768	0.673	0.854	0.73	0.961	0.345	0.865
X970031	31	0.181	0.166	0.615	0.164	0.09	0.268	0.744	0.904	0.745	0.18	0.467	0.274	0.357	0.539
X970032	32	0.351	0.055	0.41	0.059	0.139	0.744	0.987	0.422	0.596	0.906	0.942	0.544	0.815	0.835
