MET_CHEM_NO	p_cat_dir|base|sebum	p_cat_dir|base|skicon	p_cat_dir|groups|oily-norm	p_cat_dir|groups|skicon	p_cat_dir|oily|exfol	p_cat_dir|oily|F-B	p_cat_dir|oily|F-B|A	p_cat_dir|oily|F-B|B	p_cat_dir|oily|F-B|B-A	p_cat_dir|oily|F-B|C	p_cat_dir|oily|F-B|C-A	p_cat_dir|oily|F-B|C-B	p_cat_dir|oily|sebum	p_cat_dir|oily|skicon
X9400569	Up, < 0.1		Up, < 0.1										Up, < 0.1	
X9400570													Up, < 0.1	
X9400571	Dn, < 0.1		Dn, < 0.1					Up, < 0.1					Dn, < 0.1	
X9400573		Up, < 0.1		Up, < 0.1										
X9400574										Up, < 0.1		Up, < 0.1		
X9400576		Dn, < 0.1		Dn, < 0.1									Up, < 0.1	
X9400577	Dn, < 0.1												Dn, < 0.1	
X9400578										Dn, < 0.1		Dn, < 0.1		
X9400582					Dn, < 0.1									
X9400583						Up, < 0.1		Up, < 0.01						
X9400584					Dn, < 0.1									
X9400585													Up, < 0.1	
X9400586						Dn, < 0.1	Dn, < 0.01	Dn, < 0.1						
X9400588												Dn, < 0.1		
X9400590		Up, < 0.1		Up, < 0.1				Dn, < 0.1				Up, < 0.1	Up, < 0.1	
X9400591								Up, < 0.1	Up, < 0.1			Dn, < 0.1	Dn, < 0.1	
X9400594													Up, < 0.1	
X9400595						Dn, < 0.1		Dn, < 0.1			Up, < 0.1	Up, < 0.1		
X9400596						Up, < 0.1	Up, < 0.1		Dn, < 0.1		Dn, < 0.1		Up, < 0.001	
X9400601			Dn, < 0.1										Up, < 0.1	
X9400603	Up, < 0.1				Up, < 0.1								Up, < 0.1	
X9400604														Dn, < 0.1
X9400605												Up, < 0.1		
X9400606					Up, < 0.1							Up, < 0.1		Dn, < 0.1
X9400607	Dn, < 0.1													
X9400608													Up, < 0.1	
X9400609								Dn, < 0.1					Up, < 0.1	
X9400614	Up, < 0.1				Dn, < 0.01									
X9400617								Dn, < 0.01			Up, < 0.1	Up, < 0.01		
X9400619												Up, < 0.1		Up, < 0.1
X9400620					Up, < 0.1					Up, < 0.1				
X9400621							Dn, < 0.1							
X9400623						Dn, < 0.1								Dn, < 0.01
X9400629											Up, < 0.1			
X9400632		Dn, < 0.1		Dn, < 0.1		Dn, < 0.1							Dn, < 0.1	Dn, < 0.01
X9400633													Up, < 0.1	
X9400638						Dn, < 0.1		Dn, < 0.1						
X9400639													Up, < 0.1	
X9400640		Up, < 0.1		Up, < 0.1				Up, < 0.1	Up, < 0.1					
X9400643		Dn, < 0.1		Dn, < 0.1										
X9400644	Up, < 0.1							Dn, < 0.1		Dn, < 0.1	Dn, < 0.1		Up, < 0.1	
X9400645														Dn, < 0.1
X9400646								Dn, < 0.1				Up, < 0.1		
X9400650					Up, < 0.1									
X9400651	Dn, < 0.1	Up, < 0.1	Dn, < 0.01	Up, < 0.1		Up, < 0.01		Up, < 0.1		Up, < 0.1				
X9400652								Up, < 0.01	Up, < 0.1			Dn, < 0.01	Dn, < 0.1	
X9400653		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9400655		Dn, < 0.1		Dn, < 0.1										
X9400657													Dn, < 0.01	
X9400658	Up, < 0.1		Up, < 0.1					Dn, < 0.1					Up, < 0.1	
X9400659		Dn, < 0.1		Dn, < 0.1	Dn, < 0.1									Dn, < 0.1
X9400662					Up, < 0.01									
X9400663			Dn, < 0.1				Up, < 0.1							
X9400665				Dn, < 0.1				Dn, < 0.1						
X9400666														Dn, < 0.1
X9400667		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9400669								Dn, < 0.1				Up, < 0.1		
X9400672	Up, < 0.1													
X9400673													Dn, < 0.1	
X9400676		Up, < 0.1		Up, < 0.1	Dn, < 0.1									
X9400678						Dn, < 0.1				Dn, < 0.1		Dn, < 0.1		
X9400680								Dn, < 0.1	Dn, < 0.1			Up, < 0.1		
X9400681	Dn, < 0.1												Dn, < 0.1	Dn, < 0.1
X9400683	Up, < 0.1		Up, < 0.1			Dn, < 0.1		Dn, < 0.001	Dn, < 0.1			Up, < 0.1		
X9400685				Up, < 0.1		Up, < 0.1							Up, < 0.001	
X9400686	Up, < 0.1												Up, < 0.1	
X9400690	Dn, < 0.1						Up, < 0.1							
X9400691					Dn, < 0.1	Dn, < 0.1							Dn, < 0.1	
X9400692														Dn, < 0.1
X9400696														Dn, < 0.1
X9400698						Up, < 0.001	Up, < 0.1	Up, < 0.001		Up, < 0.001	Up, < 0.1			
X9400699					Dn, < 0.1									Up, < 0.1
X9400700					Dn, < 0.1									
X9400703													Up, < 0.1	
X9400704													Dn, < 0.1	
X9400707	Up, < 0.1		Up, < 0.01	Dn, < 0.1	Up, < 0.1			Dn, < 0.1						Dn, < 0.01
X9400708										Up, < 0.1	Up, < 0.1	Up, < 0.1		
X9400710										Up, < 0.1				
X9400711											Dn, < 0.1			
X9400712					Dn, < 0.1									
X9400713		Up, < 0.1		Up, < 0.1				Dn, < 0.1						
X9400714													Up, < 0.1	
X9400715	Dn, < 0.01	Up, < 0.01	Dn, < 0.1	Up, < 0.01	Dn, < 0.1									
X9400718						Up, < 0.1	Up, < 0.01		Dn, < 0.01			Up, < 0.1	Up, < 0.1	Up, < 0.01
X9400719		Up, < 0.1		Up, < 0.1	Dn, < 0.01		Dn, < 0.1		Up, < 0.1					
X9400721						Up, < 0.1								
X9400722								Up, < 0.1				Dn, < 0.1		
X9400723						Dn, < 0.1	Dn, < 0.1	Dn, < 0.1			Up, < 0.1	Up, < 0.1		
X9400724							Dn, < 0.1							
X9400726		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9400731								Dn, < 0.01				Up, < 0.1		
X9400732													Dn, < 0.1	
X9400733												Up, < 0.1		
X9400735				Dn, < 0.1			Up, < 0.1	Up, < 0.1			Dn, < 0.1	Dn, < 0.1		Dn, < 0.1
X9400736		Up, < 0.1		Up, < 0.1				Dn, < 0.1					Up, < 0.1	
X9400738		Up, < 0.1		Up, < 0.1		Up, < 0.1	Up, < 0.1		Dn, < 0.1				Up, < 0.1	
X9400740		Up, < 0.1		Up, < 0.1				Dn, < 0.1				Up, < 0.1	Up, < 0.01	
X9400744	Dn, < 0.1		Dn, < 0.1		Dn, < 0.1									
X9400745														Dn, < 0.1
X9400747					Dn, < 0.1									
X9400750	Up, < 0.1												Up, < 0.1	
X9400751					Up, < 0.1									
X9400753		Dn, < 0.1		Dn, < 0.1				Dn, < 0.1	Dn, < 0.1			Up, < 0.1		Dn, < 0.01
