MET_CHEM_NO	p_cat_dir|base|sebum	p_cat_dir|base|skicon	p_cat_dir|groups|oily-norm	p_cat_dir|groups|skicon	p_cat_dir|oily|exfol	p_cat_dir|oily|F-B	p_cat_dir|oily|F-B|A	p_cat_dir|oily|F-B|B	p_cat_dir|oily|F-B|B-A	p_cat_dir|oily|F-B|C	p_cat_dir|oily|F-B|C-A	p_cat_dir|oily|F-B|C-B	p_cat_dir|oily|sebum	p_cat_dir|oily|skicon
X9704958					Up, < 0.1	Dn, < 0.1	Dn, < 0.1		Up, < 0.1					
X9704959					Up, < 0.01							Dn, < 0.1		
X9704960	Up, < 0.1													Dn, < 0.1
X9704963		Dn, < 0.1		Dn, < 0.1	Up, < 0.01			Up, < 0.1	Up, < 0.1	Dn, < 0.1		Dn, < 0.01		Dn, < 0.1
X9704964	Up, < 0.1		Up, < 0.1		Up, < 0.1									
X9704965		Dn, < 0.1		Dn, < 0.1			Dn, < 0.1		Up, < 0.1					
X9704966		Dn, < 0.001	Up, < 0.1	Dn, < 0.001										Dn, < 0.001
X9704967		Dn, < 0.1		Dn, < 0.1										Dn, < 0.1
X9704968					Up, < 0.1				Up, < 0.1					
X9704969					Up, < 0.001				Up, < 0.1					
X9704970				Dn, < 0.1		Dn, < 0.1	Dn, < 0.1		Up, < 0.1					
X9704972							Up, < 0.1				Dn, < 0.1			
X9704973						Up, < 0.1				Up, < 0.1		Up, < 0.1		
X9704976					Up, < 0.001									
X9704977	Up, < 0.1		Up, < 0.01		Up, < 0.1							Dn, < 0.1		
X9704978	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1								Dn, < 0.1
X9704980		Dn, < 0.01		Dn, < 0.01			Dn, < 0.1		Up, < 0.1					
X9704981					Up, < 0.01									
X9704982										Up, < 0.1				
X9704983					Up, < 0.1					Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		Dn, < 0.1
X9704984					Up, < 0.1					Dn, < 0.1				
X9704985					Up, < 0.01									
X9704986						Dn, < 0.1								
X9704987					Up, < 0.1									
X9704989		Dn, < 0.1		Dn, < 0.01	Up, < 0.01	Dn, < 0.1								Dn, < 0.01
X9704990					Up, < 0.01									
X9704992					Up, < 0.01									
X9704995						Dn, < 0.001	Dn, < 0.1			Dn, < 0.1			Dn, < 0.1	
X9704996	Up, < 0.1		Up, < 0.1	Up, < 0.1					Dn, < 0.1		Dn, < 0.1			
X9704998		Dn, < 0.1		Dn, < 0.1		Dn, < 0.1								Dn, < 0.1
X9704999		Up, < 0.1		Up, < 0.1										Up, < 0.1
X9705000			Up, < 0.1		Up, < 0.1									
X9705001					Up, < 0.01									
X9705002	Up, < 0.1		Up, < 0.1											
X9705003	Up, < 0.1	Dn, < 0.01	Up, < 0.1	Dn, < 0.01										
X9705004	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1		Up, < 0.1								
X9705007	Up, < 0.1	Dn, < 0.1		Dn, < 0.1					Up, < 0.1					
X9705008					Up, < 0.1								Dn, < 0.1	
X9705009													Dn, < 0.1	
X9705011		Dn, < 0.1		Dn, < 0.1			Dn, < 0.1				Up, < 0.1			
X9705013		Dn, < 0.001		Dn, < 0.001									Dn, < 0.1	Dn, < 0.01
X9705014		Dn, < 0.01	Up, < 0.1	Dn, < 0.001	Up, < 0.1	Dn, < 0.1								Dn, < 0.1
X9705016					Up, < 0.01									
X9705017														Dn, < 0.1
X9705019												Up, < 0.1		
X9705020						Dn, < 0.1	Dn, < 0.1							Dn, < 0.1
X9705022		Dn, < 0.01	Up, < 0.1	Dn, < 0.01										Dn, < 0.1
X9705023					Dn, < 0.1									
X9705024					Up, < 0.01					Dn, < 0.1				
X9705025					Up, < 0.1					Dn, < 0.1				Dn, < 0.1
X9705028					Up, < 0.1									
X9705030		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9705031				Dn, < 0.1						Dn, < 0.1		Dn, < 0.1		Dn, < 0.1
X9705034			Up, < 0.1			Dn, < 0.1				Dn, < 0.1				Dn, < 0.01
X9705035						Up, < 0.1	Up, < 0.1	Up, < 0.1						
X9705036					Up, < 0.1									
X9705038		Dn, < 0.1		Dn, < 0.1										
X9705039			Up, < 0.1			Dn, < 0.1				Dn, < 0.1	Dn, < 0.1			Dn, < 0.1
X9705041						Dn, < 0.1								
X9705042		Dn, < 0.01	Up, < 0.1	Dn, < 0.001										Dn, < 0.1
X9705043		Dn, < 0.001		Dn, < 0.001						Dn, < 0.1		Dn, < 0.1		Dn, < 0.001
X9705044		Dn, < 0.01		Dn, < 0.01										Dn, < 0.1
X9705045		Dn, < 0.001		Dn, < 0.001	Up, < 0.001	Dn, < 0.1				Dn, < 0.1		Dn, < 0.1		Dn, < 0.001
X9705046										Up, < 0.1	Up, < 0.1	Up, < 0.1		
X9705047								Up, < 0.1						
X9705051					Up, < 0.1	Dn, < 0.1				Dn, < 0.1				Dn, < 0.1
X9705052					Up, < 0.1	Dn, < 0.1	Dn, < 0.1		Up, < 0.1	Dn, < 0.1		Dn, < 0.1		
X9705054	Up, < 0.1													
X9705055													Dn, < 0.1	
X9705056						Dn, < 0.1							Dn, < 0.1	Dn, < 0.01
X9705057		Dn, < 0.1		Dn, < 0.1	Up, < 0.01	Dn, < 0.1								
X9705059					Up, < 0.001							Dn, < 0.1		
X9705060												Dn, < 0.1		
X9705061	Up, < 0.1	Dn, < 0.001	Up, < 0.1	Dn, < 0.001										Dn, < 0.1
X9705062	Up, < 0.1	Dn, < 0.01	Up, < 0.01	Dn, < 0.01	Up, < 0.1	Dn, < 0.1	Dn, < 0.1							
X9705063					Up, < 0.1									
X9705065						Dn, < 0.1				Dn, < 0.1		Dn, < 0.1	Dn, < 0.1	
X9705066	Up, < 0.1		Up, < 0.01			Dn, < 0.1								Dn, < 0.1
X9705067													Dn, < 0.01	
X9705069			Up, < 0.1											
X9705070					Up, < 0.1									
X9705071							Up, < 0.1							
X9705072		Dn, < 0.001		Dn, < 0.001	Up, < 0.1									Dn, < 0.001
X9705073		Dn, < 0.1		Dn, < 0.1				Up, < 0.1				Dn, < 0.1		Dn, < 0.1
X9705074					Up, < 0.1									Dn, < 0.1
X9705075		Dn, < 0.01		Dn, < 0.01							Dn, < 0.1			Dn, < 0.1
X9705076	Up, < 0.1				Up, < 0.1	Up, < 0.001		Up, < 0.1		Up, < 0.01			Up, < 0.1	Dn, < 0.1
X9705077						Dn, < 0.1								Dn, < 0.1
X9705078					Up, < 0.01									
X9705079					Up, < 0.1									
X9705080					Up, < 0.001	Dn, < 0.1	Dn, < 0.1		Up, < 0.1	Dn, < 0.1		Dn, < 0.1		
X9705081		Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1				Dn, < 0.1				Dn, < 0.01
X9705085					Up, < 0.01									
X9705086		Dn, < 0.1		Dn, < 0.1										
X9705087		Dn, < 0.01	Up, < 0.1	Dn, < 0.01								Dn, < 0.1		Dn, < 0.01
X9705088		Dn, < 0.01		Dn, < 0.01	Up, < 0.1	Dn, < 0.1	Dn, < 0.1		Up, < 0.1					
X9705089						Up, < 0.1		Up, < 0.1						
X9705090		Dn, < 0.01		Dn, < 0.01	Up, < 0.01					Dn, < 0.1		Dn, < 0.1		Dn, < 0.001
X9705091					Up, < 0.01								Up, < 0.1	
X9705092		Dn, < 0.01		Dn, < 0.01		Dn, < 0.1				Dn, < 0.1		Dn, < 0.1		Dn, < 0.1
X9705093					Up, < 0.01									
X9705094		Dn, < 0.1		Dn, < 0.1										
X9705095					Up, < 0.01									Dn, < 0.1
X9705098					Up, < 0.1									
X9705099	Up, < 0.1	Dn, < 0.001	Up, < 0.01	Dn, < 0.001						Dn, < 0.1		Dn, < 0.1		Dn, < 0.01
X9705100					Up, < 0.1									
X9705102					Up, < 0.1		Up, < 0.1				Dn, < 0.1			
X9705103		Dn, < 0.1		Dn, < 0.1	Up, < 0.01									
X9705104		Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1					Dn, < 0.1		Dn, < 0.1		Dn, < 0.1
X9705106					Up, < 0.001									
X9705107														Dn, < 0.1
X9705108					Up, < 0.01									
X9705110				Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9705111					Up, < 0.01			Up, < 0.1	Up, < 0.1	Dn, < 0.1		Dn, < 0.01		
X9705116														Up, < 0.1
X9705117		Dn, < 0.1		Dn, < 0.1	Up, < 0.1			Up, < 0.1				Dn, < 0.1		Dn, < 0.1
X9705118					Up, < 0.1									Dn, < 0.1
X9705119					Up, < 0.1									
X9705120					Up, < 0.01						Up, < 0.1	Up, < 0.1		Up, < 0.1
X9705121		Up, < 0.1		Up, < 0.1				Dn, < 0.1				Up, < 0.1		Up, < 0.1
X9705122		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9705124		Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1									
X9705127					Up, < 0.01									
X9705128													Dn, < 0.1	
X9705129					Up, < 0.1		Dn, < 0.1							
X9705130		Dn, < 0.001	Up, < 0.1	Dn, < 0.001					Up, < 0.1			Dn, < 0.1		
X9705131		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9705132		Dn, < 0.1		Dn, < 0.1	Up, < 0.1							Dn, < 0.1		
X9705133		Up, < 0.1		Up, < 0.1										
X9705134						Up, < 0.1	Up, < 0.1	Up, < 0.1						
X9705136		Up, < 0.1		Up, < 0.1									Up, < 0.1	
X9705138										Dn, < 0.1		Dn, < 0.1		
X9705140					Up, < 0.001									
X9705141		Up, < 0.1		Up, < 0.1										
X9705142		Dn, < 0.01		Dn, < 0.01	Up, < 0.01									
X9705144					Up, < 0.1									
X9705145					Up, < 0.1									
X9705146		Dn, < 0.001		Dn, < 0.001	Up, < 0.1	Dn, < 0.1							Dn, < 0.1	Dn, < 0.1
X9705147					Up, < 0.1					Up, < 0.1				
X9705148					Up, < 0.1									
X9705151		Dn, < 0.01		Dn, < 0.01										Dn, < 0.1
X9705154	Up, < 0.01		Up, < 0.1		Up, < 0.01									
X9705155	Dn, < 0.1				Up, < 0.1									
X9705156					Up, < 0.01			Up, < 0.1	Up, < 0.01			Dn, < 0.1	Dn, < 0.1	
X9705159								Up, < 0.1				Dn, < 0.1		
X9705161								Up, < 0.1		Dn, < 0.1		Dn, < 0.01		
X9705163					Up, < 0.001		Dn, < 0.1		Up, < 0.1		Up, < 0.1			
X9705165		Dn, < 0.01		Dn, < 0.001								Dn, < 0.1		Dn, < 0.1
X9705166						Dn, < 0.1				Dn, < 0.01		Dn, < 0.1		
X9705170	Up, < 0.1		Up, < 0.1			Dn, < 0.1								
X9705171							Dn, < 0.1	Up, < 0.1	Up, < 0.01		Up, < 0.1			
X9705172			Up, < 0.1		Up, < 0.1			Up, < 0.1				Dn, < 0.1		
X9705173													Dn, < 0.1	
X9705174					Dn, < 0.1									
X9705175		Dn, < 0.1		Dn, < 0.1		Dn, < 0.1								
X9705176	Up, < 0.1	Dn, < 0.01	Up, < 0.1	Dn, < 0.01	Up, < 0.01								Up, < 0.1	Dn, < 0.01
X9705177								Up, < 0.1						
X9705179					Up, < 0.01									
X9705182	Up, < 0.1		Up, < 0.1											
X9705183						Up, < 0.1								
X9705185		Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.001									Dn, < 0.01
X9705187					Up, < 0.01					Dn, < 0.1				Dn, < 0.1
X9705189		Dn, < 0.1		Dn, < 0.1	Up, < 0.1		Dn, < 0.1	Up, < 0.1	Up, < 0.01					
X9705190					Up, < 0.1									
X9705191					Up, < 0.1									
X9705192					Up, < 0.1									
X9705194					Up, < 0.1									
X9705195							Dn, < 0.1				Up, < 0.1			
X9705196	Dn, < 0.1				Up, < 0.1									
X9705197	Dn, < 0.1				Up, < 0.01			Up, < 0.1				Dn, < 0.1		
X9705198								Dn, < 0.1						
X9705201		Dn, < 0.1		Dn, < 0.1										
X9705204					Up, < 0.01									
X9705205	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1										
X9705207					Up, < 0.1									
X9705208		Dn, < 0.1		Dn, < 0.1	Up, < 0.01									Dn, < 0.1
X9705210	Dn, < 0.1				Up, < 0.1									
X9705211			Up, < 0.01	Dn, < 0.1		Dn, < 0.01				Dn, < 0.01		Dn, < 0.01	Dn, < 0.1	Dn, < 0.1
X9705212			Up, < 0.1		Up, < 0.1									
X9705213						Dn, < 0.1	Dn, < 0.01		Up, < 0.1				Dn, < 0.1	
X9705215					Up, < 0.1									Dn, < 0.1
X9705216		Dn, < 0.1	Up, < 0.1	Dn, < 0.01	Up, < 0.1		Dn, < 0.1	Up, < 0.1	Up, < 0.01			Dn, < 0.1		
X9705217					Up, < 0.01									
X9705218										Up, < 0.1	Up, < 0.1	Up, < 0.1		Up, < 0.1
X9705219		Dn, < 0.001		Dn, < 0.001	Up, < 0.1	Dn, < 0.1								Dn, < 0.01
X9705221								Up, < 0.1				Dn, < 0.1		
X9705222		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9705223			Up, < 0.1		Up, < 0.1								Up, < 0.1	
X9705225				Up, < 0.1										
X9705226					Up, < 0.1									
X9705228					Up, < 0.01		Dn, < 0.01				Up, < 0.1			
X9705229									Up, < 0.1			Dn, < 0.1		
X9705230		Dn, < 0.1		Dn, < 0.1	Up, < 0.1		Dn, < 0.1	Up, < 0.1	Up, < 0.01			Dn, < 0.1		Dn, < 0.1
X9705231	Dn, < 0.1	Dn, < 0.01		Dn, < 0.01	Up, < 0.1									
X9705233										Dn, < 0.01	Dn, < 0.01	Dn, < 0.1		
X9705234		Up, < 0.1		Up, < 0.1	Up, < 0.1									
X9705236					Up, < 0.1	Up, < 0.1		Up, < 0.1				Dn, < 0.1		
X9705237					Up, < 0.1									
X9705238		Dn, < 0.1		Dn, < 0.1	Up, < 0.01									
X9705242					Up, < 0.01	Dn, < 0.1								
X9705243					Up, < 0.1									
X9705244		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9705245					Dn, < 0.1			Dn, < 0.1						
X9705246		Dn, < 0.1	Up, < 0.1	Dn, < 0.1			Dn, < 0.1				Up, < 0.1			
X9705247	Up, < 0.1													
X9705249	Up, < 0.1	Up, < 0.1		Up, < 0.1				Dn, < 0.1		Dn, < 0.1			Up, < 0.1	
X9705250	Up, < 0.1	Dn, < 0.1	Up, < 0.001	Dn, < 0.1					Up, < 0.1					Dn, < 0.01
X9705251				Up, < 0.1										Up, < 0.1
X9705253		Dn, < 0.1		Dn, < 0.1	Up, < 0.1									
X9705254				Dn, < 0.1	Up, < 0.1							Dn, < 0.1		Dn, < 0.01
X9705255		Dn, < 0.1		Dn, < 0.1				Up, < 0.1	Up, < 0.1			Dn, < 0.1		Dn, < 0.1
X9705256					Up, < 0.1									
X9705257		Dn, < 0.01	Up, < 0.1	Dn, < 0.01	Up, < 0.1					Dn, < 0.01	Dn, < 0.1	Dn, < 0.01		Dn, < 0.1
X9705258							Dn, < 0.1		Up, < 0.1	Dn, < 0.1		Dn, < 0.1		Dn, < 0.1
X9705259														Dn, < 0.1
X9705260	Dn, < 0.1	Up, < 0.1		Up, < 0.1										Up, < 0.01
X9705261		Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9705262	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1										
X9705263		Dn, < 0.1		Dn, < 0.1	Up, < 0.01					Dn, < 0.1		Dn, < 0.1		Dn, < 0.01
X9705264							Dn, < 0.1							
X9705265					Up, < 0.001			Up, < 0.01	Up, < 0.1			Dn, < 0.1		
X9705266	Up, < 0.1	Dn, < 0.01	Up, < 0.1	Dn, < 0.01										Dn, < 0.1
X9705267		Dn, < 0.001		Dn, < 0.001										Dn, < 0.1
X9705268					Up, < 0.1						Up, < 0.1			
X9705269		Dn, < 0.1	Up, < 0.1	Dn, < 0.1		Dn, < 0.1				Dn, < 0.001	Dn, < 0.1	Dn, < 0.01		Dn, < 0.1
X9705270	Dn, < 0.1													Dn, < 0.1
X9705273					Up, < 0.1		Dn, < 0.1		Up, < 0.1		Up, < 0.1			
X9705275		Dn, < 0.1	Up, < 0.1	Dn, < 0.1		Dn, < 0.1								Dn, < 0.1
X9705276		Dn, < 0.1		Dn, < 0.1	Dn, < 0.1									Dn, < 0.1
X9705277	Up, < 0.01				Dn, < 0.1									
X9705279					Up, < 0.01									
X9705280		Dn, < 0.1		Dn, < 0.1	Up, < 0.01									Dn, < 0.1
X9705281			Up, < 0.1											Dn, < 0.1
X9705285				Dn, < 0.1	Up, < 0.1							Dn, < 0.1		
X9705287					Up, < 0.1									
X9705288	Up, < 0.1												Up, < 0.1	
X9705289			Up, < 0.1					Dn, < 0.1						
X9705290					Up, < 0.1				Up, < 0.1					
X9705291					Dn, < 0.001									
X9705293					Dn, < 0.01			Up, < 0.1				Dn, < 0.1		
X9705296														Dn, < 0.1
X9705298		Dn, < 0.1			Dn, < 0.001			Up, < 0.1				Dn, < 0.1		
X9705300		Up, < 0.1		Up, < 0.1										
X9705301	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Dn, < 0.1			Dn, < 0.1					Up, < 0.1	
X9705308	Dn, < 0.1	Up, < 0.1		Up, < 0.1		Up, < 0.1	Up, < 0.1		Dn, < 0.1		Dn, < 0.1			
X9705309		Dn, < 0.1		Dn, < 0.1										
X9705310	Dn, < 0.1					Up, < 0.1	Up, < 0.1	Up, < 0.01				Dn, < 0.1		Dn, < 0.01
X9705311					Up, < 0.1									
X9705312					Dn, < 0.1			Up, < 0.1						Dn, < 0.1
X9705314		Dn, < 0.1		Dn, < 0.1	Dn, < 0.01			Up, < 0.1				Dn, < 0.1		
X9705315		Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.01		Dn, < 0.1							
X9705319	Dn, < 0.1											Dn, < 0.1		Up, < 0.1
X9705321					Up, < 0.1		Dn, < 0.1		Up, < 0.1					
X9705323					Up, < 0.1									
X9705324					Up, < 0.1									
X9705325		Dn, < 0.1		Dn, < 0.1	Up, < 0.1					Dn, < 0.1		Dn, < 0.1		
X9705326					Up, < 0.1				Up, < 0.1			Dn, < 0.1		
X9705327					Up, < 0.1									
X9705328		Dn, < 0.01	Up, < 0.1	Dn, < 0.01	Up, < 0.01		Dn, < 0.1		Up, < 0.1			Dn, < 0.1		Dn, < 0.1
X9705330		Dn, < 0.1	Up, < 0.1	Dn, < 0.01		Dn, < 0.1				Dn, < 0.1		Dn, < 0.1		Dn, < 0.01
X9705331		Dn, < 0.01	Up, < 0.1	Dn, < 0.01	Up, < 0.01									Dn, < 0.1
X9705335										Dn, < 0.1	Dn, < 0.1			
X9705336														Dn, < 0.1
X9705338										Dn, < 0.1		Dn, < 0.1		
X9705339										Up, < 0.1				
X9705340						Up, < 0.1		Up, < 0.01				Dn, < 0.1		
X9705342														Dn, < 0.1
X9705343						Dn, < 0.1	Dn, < 0.1		Up, < 0.1	Dn, < 0.1		Dn, < 0.1		
X9705345	Up, < 0.1	Dn, < 0.001	Up, < 0.01	Dn, < 0.001	Up, < 0.1	Dn, < 0.1		Dn, < 0.1						
X9705346													Up, < 0.1	
X9705348							Dn, < 0.1			Up, < 0.1	Up, < 0.01	Up, < 0.1		
X9705349						Up, < 0.1		Up, < 0.1		Up, < 0.1				Up, < 0.1
X9705350	Up, < 0.01													
X9705351	Dn, < 0.1		Dn, < 0.1											Dn, < 0.1
X9705352										Up, < 0.1				
X9705354								Up, < 0.1	Up, < 0.1				Dn, < 0.01	
X9705355		Dn, < 0.1	Up, < 0.1	Dn, < 0.1		Dn, < 0.1								
X9705356								Up, < 0.1						
X9705357						Dn, < 0.1	Dn, < 0.1		Up, < 0.1		Up, < 0.1		Dn, < 0.1	
X9705363						Up, < 0.1								
X9705364	Up, < 0.1		Up, < 0.1					Dn, < 0.1						
X9705365					Up, < 0.1									
X9705366					Up, < 0.1									Dn, < 0.1
X9705367		Up, < 0.1		Up, < 0.1			Up, < 0.1							Up, < 0.01
X9705369		Up, < 0.1		Up, < 0.1	Up, < 0.1									Up, < 0.1
X9705371					Up, < 0.01			Dn, < 0.1						
X9705373		Up, < 0.1		Up, < 0.1		Up, < 0.1	Up, < 0.1		Dn, < 0.1					Up, < 0.01
X9705374							Up, < 0.1							
X9705375		Dn, < 0.1		Dn, < 0.1						Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		
X9705376	Dn, < 0.1				Dn, < 0.1		Up, < 0.1							
X9705379					Up, < 0.1									
X9705380	Up, < 0.1	Dn, < 0.01	Up, < 0.1	Dn, < 0.01										Dn, < 0.1
X9705381								Up, < 0.1	Up, < 0.1					
X9705382		Dn, < 0.1								Up, < 0.1		Up, < 0.1	Up, < 0.1	
X9705384		Dn, < 0.1		Dn, < 0.1					Dn, < 0.1					
X9705385	Up, < 0.1	Dn, < 0.01	Up, < 0.1	Dn, < 0.01										
X9705386		Up, < 0.1		Up, < 0.1	Up, < 0.1	Dn, < 0.1								
X9705387		Dn, < 0.1		Dn, < 0.1										
X9705388														Dn, < 0.1
X9705389					Up, < 0.1									
X9705390														Up, < 0.1
X9705391						Up, < 0.1		Up, < 0.1				Dn, < 0.1		
X9705392		Up, < 0.1		Up, < 0.1										
X9705393										Up, < 0.1				
X9705394												Dn, < 0.1	Dn, < 0.01	
X9705395	Dn, < 0.1													
X9705397	Up, < 0.1		Up, < 0.1					Dn, < 0.1						
X9705398	Up, < 0.1		Up, < 0.1											
X9705400	Up, < 0.1		Up, < 0.1											
X9705401														Up, < 0.1
X9705402	Up, < 0.1		Up, < 0.1											
X9705403													Dn, < 0.1	
X9705405	Dn, < 0.1				Up, < 0.1		Up, < 0.1			Dn, < 0.1	Dn, < 0.01	Dn, < 0.1		
X9705406			Up, < 0.1											
X9705407														Dn, < 0.1
X9705408		Dn, < 0.01		Dn, < 0.001							Dn, < 0.1	Dn, < 0.1		Dn, < 0.1
X9705409	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1				Up, < 0.1						
X9705410					Dn, < 0.1								Up, < 0.1	
X9705411	Dn, < 0.1													
X9705412					Up, < 0.01			Up, < 0.1						
X9705414						Up, < 0.1	Up, < 0.1							
X9705416		Dn, < 0.1		Dn, < 0.1										
X9705419					Dn, < 0.1			Up, < 0.1					Dn, < 0.01	
X9705420	Up, < 0.1		Up, < 0.1											
X9705421					Up, < 0.01									Dn, < 0.01
X9705422			Up, < 0.1			Dn, < 0.1				Dn, < 0.01				
X9705423										Dn, < 0.1	Dn, < 0.1	Dn, < 0.1		
X9705424	Up, < 0.01	Dn, < 0.001	Up, < 0.01	Dn, < 0.001										Dn, < 0.01
X9705425		Dn, < 0.1		Dn, < 0.1										Dn, < 0.01
X9705426	Dn, < 0.1	Dn, < 0.1		Dn, < 0.1	Up, < 0.1			Up, < 0.1	Up, < 0.1			Dn, < 0.1		Dn, < 0.1
X9705429	Up, < 0.1		Up, < 0.01											
X9705430					Up, < 0.01								Up, < 0.1	Dn, < 0.1
X9705432				Dn, < 0.1		Dn, < 0.1				Dn, < 0.01	Dn, < 0.1	Dn, < 0.1		
X9705433		Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.01			Up, < 0.1				Dn, < 0.1		Dn, < 0.01
X9705434														Up, < 0.1
X9705435					Up, < 0.1			Up, < 0.01				Dn, < 0.1		
X9705436					Up, < 0.1									
X9705437					Up, < 0.1									
X9705438						Up, < 0.1								Up, < 0.1
X9705439				Up, < 0.1										
X9705442					Up, < 0.01									
X9705443							Up, < 0.1							
X9705444	Dn, < 0.1		Dn, < 0.1					Up, < 0.1						
X9705445					Up, < 0.1									
X9705447					Up, < 0.1									
X9705448	Dn, < 0.1	Up, < 0.1		Up, < 0.1										Up, < 0.1
X9705451		Dn, < 0.01	Up, < 0.1	Dn, < 0.01	Up, < 0.1	Dn, < 0.01	Dn, < 0.1							Dn, < 0.1
X9705456						Up, < 0.1	Up, < 0.1							Dn, < 0.1
X9705457	Up, < 0.1		Up, < 0.01										Up, < 0.1	
X9705460	Up, < 0.1		Up, < 0.1		Up, < 0.1					Dn, < 0.1			Up, < 0.1	
X9705461	Up, < 0.1		Up, < 0.1		Dn, < 0.1									
X9705464	Up, < 0.1	Dn, < 0.001	Up, < 0.1	Dn, < 0.001									Up, < 0.01	Dn, < 0.001
X9705465	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1									
X9705466	Up, < 0.1	Dn, < 0.1	Up, < 0.1	Dn, < 0.1										Dn, < 0.1
X9705467	Up, < 0.01		Up, < 0.1		Up, < 0.1									
X9705470								Up, < 0.1				Dn, < 0.1		
X9705471									Dn, < 0.1	Dn, < 0.1	Dn, < 0.1			
X9705472	Up, < 0.01		Up, < 0.01											
X9705475	Dn, < 0.01		Dn, < 0.1										Dn, < 0.1	
X9705476	Up, < 0.1		Up, < 0.1		Up, < 0.1		Dn, < 0.1							
X9705477													Up, < 0.1	
X9705478	Up, < 0.001	Dn, < 0.1	Up, < 0.001											Dn, < 0.1
X9705479	Up, < 0.1		Up, < 0.1											
X9705481										Dn, < 0.1				
X9705482		Dn, < 0.1	Up, < 0.1	Dn, < 0.1	Up, < 0.1									Dn, < 0.1
X9705483	Dn, < 0.1				Up, < 0.01	Dn, < 0.1				Dn, < 0.1				
X9705484					Up, < 0.1			Up, < 0.1		Up, < 0.1				
X9705486					Dn, < 0.1					Dn, < 0.1		Dn, < 0.1		
X9705487	Up, < 0.1				Up, < 0.1			Up, < 0.1						
X9705490		Dn, < 0.1		Dn, < 0.1	Up, < 0.1					Dn, < 0.1		Dn, < 0.1		
X9705492		Dn, < 0.01		Dn, < 0.01	Up, < 0.001			Up, < 0.1				Dn, < 0.1		Dn, < 0.001
X9705494			Up, < 0.1											
X9705495		Dn, < 0.01		Dn, < 0.01										Dn, < 0.01
X9705497	Up, < 0.1		Up, < 0.1							Dn, < 0.1		Dn, < 0.1		
X9705498											Dn, < 0.1			
X9705500			Up, < 0.1											Dn, < 0.1
X9705501	Dn, < 0.1		Dn, < 0.1					Up, < 0.1	Up, < 0.1					
X9705502	Dn, < 0.1													Up, < 0.1
X9705503		Up, < 0.1	Dn, < 0.1	Up, < 0.1										
X9705504								Up, < 0.1	Up, < 0.1					
X9705505									Up, < 0.1					
X9705506							Dn, < 0.1							
X9705507							Dn, < 0.1				Up, < 0.1			Up, < 0.1
X9705508	Dn, < 0.1		Dn, < 0.1					Up, < 0.1				Dn, < 0.1		
X9705509		Up, < 0.1		Up, < 0.1										
X9705510					Dn, < 0.01									
X9705511				Dn, < 0.1									Dn, < 0.1	
X9705512		Dn, < 0.1		Dn, < 0.1				Up, < 0.1						
X9705513		Dn, < 0.1		Dn, < 0.1				Up, < 0.1						
X9705514					Up, < 0.01	Dn, < 0.1				Dn, < 0.01		Dn, < 0.1		
X9705515					Up, < 0.1									
X9705516								Up, < 0.1						
X9705520													Up, < 0.1	
X9705522		Dn, < 0.1		Dn, < 0.1							Up, < 0.1			
X9705523								Dn, < 0.1				Up, < 0.1		
X9705526										Up, < 0.1	Up, < 0.1	Up, < 0.1		
X9705527		Dn, < 0.1		Dn, < 0.1		Up, < 0.1		Up, < 0.01		Up, < 0.1				
X9705529								Up, < 0.1	Up, < 0.1					
X9705531								Dn, < 0.1						
X9705532					Dn, < 0.1									
X9705534		Dn, < 0.01		Dn, < 0.01										
X9705535								Dn, < 0.1						
X9705537							Dn, < 0.1			Dn, < 0.1		Dn, < 0.1	Up, < 0.1	
X9705538					Dn, < 0.01									
X9705539								Up, < 0.1						
X9705541	Up, < 0.1				Dn, < 0.1								Up, < 0.1	
X9705542		Up, < 0.1		Up, < 0.1										
X9705544					Dn, < 0.1									
