Row_ID	p_volcano|groups|oily-norm	p_volcano|base|sebum	p_volcano|base|skicon
2140	1.106	0.498	0.012
2141	0.436	0.285	1.083
2142	0.084	0.06	1.384
2143	0.281	0.028	0.511
2144	0.147	0.662	0.993
2150	0.189	0.517	0.394
2151	0.006	0.099	0.035
2152	1.595	1.344	0.05
2156	0.221	0.1	0.625
2157	0.085	0.068	0.087
2158	0.18	0.312	0.63
2161	0.989	1.157	1.485
2162	0.314	0.388	0.351
2164	0.087	0.11	0.607
2165	0.32	0.104	0.295
2166	0.846	0.462	0.467
2167	0.147	0.126	1.536
2169	0.763	1.421	0.355
2171	0.846	0.38	0.345
2172	0.39	0.188	0.168
2175	0.051	0.316	0.88
2176	0.537	0.122	0.718
2177	0.444	0.217	0.531
2178	0.456	0.206	0.482
2181	0.225	0.097	0.382
2182	0.575	0.481	2.309
2187	0.221	0.058	0.199
2188	0.65	0.514	0.413
2189	0.498	1.445	0.837
2190	0.752	0.496	0.536
2192	0.796	0.167	1.093
2194	0.225	0.513	0.1
2197	0.068	0.213	0.011
2199	0.076	0.098	0.035
2202	0.261	1.206	1.098
2203	0.055	0.012	0.213
2204	0.243	0.438	0.032
2205	0.002	0.127	0.022
2207	0.147	0.454	0.357
2209	0.534	0.177	0.397
2211	0.539	0.283	0.241
2213	0.889	0.924	0.017
2214	0.185	0.396	1.196
2215	0.097	0.176	2.503
2216	0.072	0.339	0.183
2217	0.242	0.305	0.502
2223	0.288	0.823	0.281
2224	0.358	0.456	0.827
2225	0.362	0.546	0.449
2227	0.054	0.139	0.457
2228	0.107	0.335	0.307
2232	0.02	0.169	0.178
2233	0.114	0.119	0.443
2234	0.737	1.733	0.077
2235	0.437	0.333	0.045
2236	0.17	0.506	0.25
2238	0.228	0.369	0.195
2239	0.445	0.879	0.298
2240	0.151	0.269	0.212
2245	0.146	0.51	0.489
2246	0.914	0.447	0.088
2247	0.016	0.451	0.695
2250	0.226	0.337	0.299
2252	0.075	0.003	1.089
2255	1.133	1.479	0.592
2256	0.126	0.082	0.109
2259	0.607	0.724	0.221
2260	0.168	0.125	0.187
2261	0.565	0.279	0.903
2262	0.02	0.459	0.974
2263	0.269	0.131	0.153
2267	0.665	1.319	0.322
2271	0.203	0.24	0.326
2272	0.213	0.474	0.581
2273	0.513	0.383	0.016
2279	0.442	0.18	1.126
2280	1.214	1.025	0.022
2281	0.528	0.435	0.033
2282	0.156	0.064	0.116
2283	0.713	0.872	0.04
2284	0.395	0.049	1.495
2285	0.236	0.387	0.138
2286	0.095	0.16	1.916
2287	0.101	0.01	0.438
2288	0.153	0.044	1.919
2290	0.031	0.464	0.94
2291	0.118	0.511	0.415
2292	0.014	0.065	0.041
2293	0.637	0.41	2.513
2294	0.313	0.005	0.176
2296	0.358	0.301	2.362
2297	0.132	0.749	0.103
2298	0.377	0.389	0.845
2299	0.476	0.299	0.216
2300	0.488	0.661	0.195
2301	0.213	0.711	0.687
2302	0.286	0.567	0.654
2303	0.244	0.372	0.521
2304	0.064	0.056	0.341
2305	0.585	1.114	0.072
2306	0.642	0.766	0.416
2307	0.801	0.737	0.159
2308	0.216	0.524	0.52
2311	0.424	0.102	1.113
2312	0.711	1.091	0.249
2313	0.264	0.753	0.294
2314	0.547	0.253	0.38
2315	0.408	0.186	0.353
2316	0.018	0.178	0.009
2318	0.056	0.035	0.283
2320	1.439	2.518	0.099
2321	0.178	0.086	0.173
2324	0.392	0.784	0.069
2325	0.176	0.125	0.448
2326	0.487	0.348	1.395
2327	0.328	0.43	1.307
2329	0.692	0.834	0.072
2330	0.664	0.403	0.852
2331	0.453	0.333	0.737
2332	0.162	0.679	0.098
2333	0.384	0.057	1.085
2339	0.336	0.446	1.129
2341	1.33	1.408	2.283
2342	0.512	0.37	0.811
2348	0.085	0.129	0.393
2349	0.249	0.631	0.006
2350	0.072	0.082	2.618
2352	0.008	0	1.614
2361	1.492	1.596	1.135
2363	0.589	1.402	0.14
2364	0.263	0.625	0.697
2365	0.123	0.648	0.304
2366	0.793	0.082	0.287
2367	0.325	0.692	0.093
2368	0.403	0.552	1.205
2369	0.354	0.66	0.937
2370	0.687	0.935	0.192
2371	0.054	0.521	0.206
2372	0.44	0.665	0.409
2373	0.14	0.088	0.962
2374	0.456	1.523	0.539
2375	0.364	0.337	1.54
2376	0.14	0.862	0.174
2378	0.219	0.33	0.089
2379	0.085	0.169	0.574
2380	0.682	0.905	1.435
2381	0.003	0.57	0.156
2384	0.211	0.23	0.895
2385	0.54	0.389	0.834
2386	0.27	0.328	1.639
2387	0.218	0.207	0.216
2388	0.204	0.033	1.397
2389	0.414	0.839	0.751
2390	0.958	0.91	0.418
2391	0.512	0.682	0.698
2392	0.024	0.072	0.386
2393	0.159	0.019	0.063
2395	0.15	0.305	2.129
2396	0.482	0.31	0.716
2397	0.069	0.204	0.563
2398	0.303	0.723	0.746
2399	0.164	0.08	0.196
2400	0.212	0.28	3.044
2401	0.121	0.069	0.12
2402	1.167	0.7	2.039
2403	1.663	2.106	0.507
2404	0.177	0.305	0.026
2405	0.345	1.333	0.422
2406	0.212	0.625	0.025
2407	0.358	0.359	1.408
2408	0.282	0.079	0.911
2409	0.047	0.22	0.217
2410	0.604	0.453	1.567
2411	0.23	0.585	0.248
2412	0.118	0.404	0.16
2413	0.493	0.386	1.386
2414	1.67	2.433	0.821
2415	0.121	0.588	0.486
2416	0.285	0.209	0.542
2417	0.793	1.285	2.084
2419	1.686	1.319	0.984
2420	0.541	0.208	0.63
2421	0.247	0.166	0.28
2422	0.608	0.475	0.272
2423	0.319	0.283	2.044
2425	0.519	0.265	0.394
2426	0.845	1.581	0.698
2427	0.343	0.586	1.245
2428	0.681	1.31	0.793
2429	0.031	0.525	0.218
2430	0.231	0.124	0.253
2431	0.061	0.309	0.598
2432	1.019	0.958	0.623
2433	0.468	0.412	1.52
2434	0.233	1.001	0.378
2435	0.002	0.124	0.081
2436	0.866	0.814	0.174
2437	0.036	0.018	1.604
2438	0.013	0.946	0.386
2439	0.036	0.222	0.362
2440	0.028	0.001	0.031
2441	0.723	0.333	0.889
2442	0.06	0.245	0.427
2443	0.592	0.138	1.445
2444	0.508	1.133	0.457
2445	0.107	0.521	0.409
2446	1.397	0.441	3.641
2448	0.128	0.26	0.005
2449	0.81	1.236	1.485
2450	1.098	0.931	0.793
2451	1.084	0.535	1.47
2452	0.207	0.39	0.54
2454	0.625	0.724	0.294
2455	0.185	0.837	0.391
2456	0.628	0.809	0.142
2457	0.745	0.444	0.476
2458	0.662	1.701	0.847
2459	0.474	0.081	1.856
2460	0.364	0.314	1.302
2461	1.266	1.172	0.151
2462	0.451	0.593	0.171
2463	0.247	0.481	0.04
2465	0.363	0.487	0.685
2466	0.347	0.029	1.538
2467	0.339	0.453	0.038
2468	0.142	0.199	0.719
2469	0.612	1.013	0.049
2470	0.556	0.907	1.345
2471	0.294	0.582	1.501
2473	0.75	0.706	0.539
2474	0.823	0.317	0.144
2475	0.162	0.362	0.491
2476	0.437	0.042	1.291
2477	1.397	0.95	1.239
