Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
2648	< 0.1	< 0.1	
2652	< 0.1	< 0.1	< 0.1
2655			< 0.1
2657			< 0.1
2659			< 0.1
2670			< 0.1
2672		< 0.1	< 0.1
2680		< 0.1	
2683		< 0.1	
2684			< 0.1
2688			< 0.1
2689			< 0.1
2693	< 0.1	< 0.1	
2695			< 0.1
2698	< 0.1	< 0.1	
2701		< 0.01	
2704		< 0.1	
2706		< 0.1	
2707			< 0.01
2713	< 0.1	< 0.01	< 0.01
2719	< 0.1		
2729		< 0.1	< 0.1
2734	< 0.1	< 0.01	
2738		< 0.1	< 0.1
2742	< 0.1	< 0.1	
2752		< 0.1	
2757	< 0.1	< 0.01	
2758	< 0.1		
2760			< 0.01
2767			< 0.01
2769	< 0.1	< 0.1	
2776		< 0.1	
2783			< 0.01
2784	< 0.001	< 0.001	< 0.1
2786		< 0.1	
2787			< 0.1
2788		< 0.1	
2791			< 0.1
2792		< 0.1	
2793			< 0.1
2797		< 0.1	
2798			< 0.1
2803			< 0.1
2806	< 0.1		
2813		< 0.1	
2822			< 0.1
2823	< 0.1	< 0.1	
2824		< 0.1	
2825		< 0.01	
2835		< 0.1	
2837	< 0.01	< 0.1	< 0.1
2839	< 0.01	< 0.01	< 0.01
2841	< 0.1		< 0.01
2842			< 0.1
2843	< 0.01	< 0.1	
2845		< 0.1	
2848	< 0.1		
2851		< 0.1	
2854	< 0.1	< 0.1	
2855			< 0.01
2862	< 0.01	< 0.01	< 0.1
2871			< 0.1
2875		< 0.1	
2877	< 0.1	< 0.1	
2879			< 0.1
2885	< 0.1	< 0.1	
2888			< 0.1
2892	< 0.1		
2894		< 0.1	
2895	< 0.1	< 0.1	
2902	< 0.1	< 0.1	
2905			< 0.1
2906	< 0.1	< 0.1	
2915	< 0.1	< 0.01	
2920	< 0.1	< 0.01	
2921	< 0.01	< 0.01	
2927	< 0.1	< 0.1	< 0.1
2929	< 0.1		
2944	< 0.1	< 0.1	< 0.1
2946			< 0.1
2947		< 0.1	
2949	< 0.1	< 0.1	
2956			< 0.1
2983		< 0.1	
2987	< 0.1		< 0.1
2995			< 0.1
3003	< 0.1		
3005	< 0.01	< 0.1	
3017			< 0.1
3024			< 0.1
3028	< 0.1	< 0.1	
3029	< 0.1	< 0.1	< 0.1
3031		< 0.1	
3032	< 0.1	< 0.1	
3039			< 0.1
3049	< 0.1	< 0.1	
3053			< 0.1
3058			< 0.1
3059		< 0.1	
3060	< 0.01	< 0.01	
3061			< 0.1
3065		< 0.1	
3068	< 0.1	< 0.01	
3081		< 0.1	
3082			< 0.1
3087	< 0.1	< 0.1	
