Row_ID	p_volc_dir|groups|oily-norm	p_volc_dir|base|sebum	p_volc_dir|base|skicon
581	0.051	-0.459	1.396
582	-0.28	-0.2	-0.277
583	0.509	-0.208	-0.02
584	-1.58	-0.841	0.165
585	-0.665	-0.761	-0.171
587	-0.648	-1.269	0.309
588	-1.391	-2.31	-1.676
589	-0.121	-0.575	-0.063
590	-0.986	-0.419	1.413
591	-0.025	-0.07	-0.095
592	-0.16	-0.491	-0.6
593	-0.302	-0.576	0.603
594	0.037	0.136	0.012
595	-0.12	-0.446	0.345
597	-0.184	-0.015	1.499
598	-1.827	-2.382	0.236
599	0.112	0.031	-0.938
600	0.119	-0.052	-0.393
601	0.034	0.349	0.006
603	0.143	0.665	-0.566
604	-1.299	-0.807	-0.128
605	-2.154	-1.487	1.39
606	-1.177	-0.874	-0.053
608	-0.93	-1.3	0.214
609	-0.883	-0.891	-0.21
610	-1.158	-1.347	2.042
611	0.02	0.097	-0.274
612	-0.317	-0.783	-0.137
613	-0.054	0.094	-0.172
614	-0.469	-0.915	1.955
615	-0.841	-0.204	0.033
617	-1.042	-1.164	-0.224
618	-0.361	-0.445	-0.238
620	-0.571	-1.331	-0.276
621	-0.094	-0.204	-0.113
622	0.315	0.245	-1.233
623	-0.939	-0.828	1.267
624	0.476	0.769	-0.118
625	0.391	0.922	-0.002
626	0.541	1.046	1.097
627	2.095	2.68	0.058
628	0.289	-0.443	0.068
629	0.49	0.596	-0.022
630	1.002	0.548	-0.143
631	-0.976	-1.42	0.661
632	0.051	0.124	0.396
633	-0.429	-0.563	1.198
634	1.283	0.913	-0.637
635	-0.067	0.175	-0.28
636	0.074	-0.184	-0.657
637	-0.029	-0.055	0.907
638	0.199	-0.322	-0.14
639	0.457	-0.23	-0.281
642	-0.014	-0.711	-0.484
643	-1.102	-1.013	0.954
644	0.01	-0.49	0.533
645	0.075	-0.497	0.26
647	1.693	2.016	-0.453
648	-0.172	-0.538	-0.681
651	-0.233	-1.281	-0.078
652	0.52	0.688	-0.013
653	0.175	0.037	-0.216
654	-1.235	-1.986	0.981
655	-0.005	-0.364	-0.112
656	-0.262	-0.169	-0.18
657	-0.285	-0.328	-0.389
658	-0.346	-0.063	-0.18
660	-0.297	-0.84	-0.032
661	0.71	1.435	-0.16
663	0.225	-0.141	-1.083
664	-1.115	-0.639	0.044
665	-0.651	-0.73	-0.093
666	-0.411	-0.221	-0.258
667	-0.171	-0.113	0.025
668	0.162	0.277	-0.047
669	0.077	-0.51	-0.422
674	0.8	0.339	-0.282
675	-0.575	-0.692	0.819
676	-0.021	-0.424	-0.021
677	-1.688	-2.239	0.093
679	-1.094	-2.127	0.726
682	-0.068	-0.59	-0.271
683	-0.097	0.056	0.902
684	0.179	-0.371	-0.338
687	0.416	0.782	-0.305
688	-1.234	-0.901	-0.138
689	-1.029	-1.833	0.586
690	-0.066	-0.48	0.29
692	0.27	0.253	-0.278
693	0.155	-0.222	-0.099
694	-0.756	-0.21	0.323
695	0.586	0.146	-1.352
698	-0.001	-0.247	-0.21
699	-0.156	-0.748	0.479
701	-1.396	-0.913	1.967
702	-0.11	0.362	0.708
703	-0.257	-0.396	-0.047
704	-0.18	-0.366	-0.104
706	0.004	-0.051	-0.46
707	-0.351	-1.092	-0.595
708	0.054	0.347	0.203
709	-0.89	-0.955	0.07
710	-0.047	-0.143	-0.212
712	-0.258	-0.705	0.094
713	0.148	-0.383	-0.325
714	-0.022	-0.335	-0.896
716	0.035	0.104	0.067
717	0.015	-0.353	-0.305
719	0.035	0.568	0.007
720	0.143	-0.056	-0.797
721	0.555	-0.015	-0.193
722	0.155	-0.189	0.42
723	-1.333	-1.841	0.521
724	-0.356	-0.212	0.393
725	1.355	1.915	-0.358
726	-0.313	-0.72	0.506
727	-0.518	-0.699	0.879
728	-0.091	-0.232	0.444
729	1.691	2.187	-0.1
730	-0.017	0.574	0.662
731	-0.03	-0.11	-0.838
732	1.314	1.931	0.194
733	0.02	-0.111	0.166
734	-0.431	-0.851	0.737
735	0.565	0.34	-1.575
736	0.066	-0.13	-0.364
737	1.169	1.825	0.202
738	0.049	-0.123	-0.291
739	1.832	2.388	0.351
740	1.86	2.594	0.039
741	-0.22	-0.01	0.085
744	-0.169	-0.183	-0.192
745	-0.021	-0.422	-0.328
746	-0.378	-1.064	-0.146
748	0.179	-0.202	-0.325
749	-0.343	-0.167	0.345
750	1.304	2.116	0.191
751	0.045	0.016	0.622
752	0.463	1.513	-0.792
753	-0.031	-0.025	-1.608
755	-0.789	-1.061	0.28
756	-0.604	-0.656	-0.337
757	-0.615	-1.45	0.402
758	0.046	-0.417	0.004
759	0.106	0.286	-1.537
760	0.644	0.956	0.278
762	0.204	0.671	-0.194
763	0.298	0.127	-0.59
767	0.088	0.143	0.345
768	0.019	-0.493	-0.272
770	0.119	-0.313	-0.187
771	0.177	0.215	0.766
772	0.349	0.714	-0.571
775	0.2	0.115	0.422
776	-0.091	0.263	0.455
778	-0.468	-0.628	0.184
784	-0.56	-1.046	0.108
785	-0.715	-0.539	0.197
788	0.113	0.375	-0.217
789	0.538	0.275	-0.324
791	-1.424	-1.186	1.144
792	-0.108	-0.322	-1.646
793	0.119	-0.497	-1.697
794	-0.156	-0.663	0.224
795	0.078	-0.395	-0.795
796	0.05	0.368	0.711
797	0.142	-0.013	0.312
799	0.446	0.584	-0.589
802	-0.426	-0.84	-0.142
805	-0.926	-1.462	-0.206
806	-0.89	-0.641	0.483
808	-0.311	0.041	-1.473
809	-0.16	-0.097	0.04
811	-0.005	-0.554	-0.361
812	1.246	1.603	0.138
814	0.746	1.105	-0.03
815	-0.282	-0.939	2.629
816	0.426	0.027	-0.493
817	-0.178	-0.218	-0.603
818	-0.056	0.103	0.082
820	-0.796	-0.593	0.635
821	-0.003	-0.778	-0.11
824	-0.481	-0.935	-0.576
825	0.019	-0.464	-0.727
827	-0.158	-0.316	-0.748
828	0.245	0.611	-0.811
831	0.087	0.298	-1.09
832	1.354	0.472	-0.499
833	-0.39	-0.265	-0.031
834	0.003	-0.282	-0.373
835	-0.341	-0.424	0.031
837	-0.551	-0.239	1.294
838	-0.352	-0.854	-0.02
839	-0.862	-0.657	0.18
840	-0.554	-0.232	0.33
842	0.026	0.348	-0.939
843	0.734	0.579	-0.693
844	0.121	0.089	-0.328
845	-0.154	-0.273	-0.588
847	-0.365	-0.935	0.069
848	0.445	0.068	-1.407
849	-0.468	-0.934	0.291
850	-0.015	-0.087	-0.072
851	0.63	0.16	-0.74
852	-0.224	-0.236	-0.043
854	-0.031	-0.471	-0.34
855	-0.019	0.565	-0.362
856	-0.193	-0.247	1.347
857	0.427	0.015	0.273
858	0.065	-0.062	-0.48
859	-0.712	-0.857	0.02
860	0.742	0.468	-0.291
861	-0.178	-0.298	-1.42
862	0.163	-0.148	-0.983
863	-0.684	-0.532	-0.184
864	0.265	-0.226	-1.156
865	-0.113	-0.712	-0.023
866	0.084	0.388	0.3
867	-0.266	-0.385	0.125
868	0.182	0.259	0.941
869	0.76	0.537	0.565
870	-0.262	-0.767	-0.159
871	-0.042	-0.769	-0.622
872	0.711	0.788	-0.292
873	0.145	0.262	-1.282
874	0.145	-0.169	-0.114
875	0.011	-0.068	0.049
877	-0.234	-0.167	-0.171
878	-0.083	-0.637	0.135
879	0.46	0.016	-0.299
880	0.3	0.297	-1.971
881	-0.187	-0.034	1.365
882	-1.026	-0.273	0.39
883	0.168	0.392	0.05
884	-0.037	-0.719	-0.61
885	-0.19	-0.716	0.199
886	-0.254	-0.326	-0.115
887	0.139	0.057	0.006
888	0.132	0.475	0.105
889	0.056	0.295	0.965
890	0.252	-0.122	-0.489
891	-0.282	-0.515	-0.092
893	-0.176	-0.602	0.349
894	0.258	0.585	-0.499
895	-0.469	-0.493	-0.03
896	-0.332	-0.148	0.348
898	0.617	-0.011	-0.425
899	-0.374	-1.135	0.025
900	-0.116	-0.109	0.028
901	-0.165	-0.537	-0.624
902	0.319	0.001	0.079
903	-0.711	-0.6	0.167
904	2.04	2.675	1.819
905	0.801	1.138	-0.127
906	-0.116	-0.085	-0.392
908	-0.526	-1.152	-0.166
909	2.054	2.298	0.041
910	-0.659	-1.263	-0.125
911	-1.054	-0.679	-0.15
912	-0.02	-0.232	-1.447
913	-0.085	-0.724	-1.002
914	0.849	0.68	-0.343
915	-0.52	-0.363	-0.192
916	0.026	-0.122	-0.577
917	-0.053	-0.283	-0.102
918	-0.274	-0.049	-0.137
919	-0.034	-0.077	0.063
920	-0.394	-0.784	-0.328
921	0.683	0.509	-0.228
922	0.105	0.255	0.011
923	0.014	-0.616	-0.279
924	-1.063	-0.535	1.362
925	-0.19	-0.426	1.174
926	0.014	-0.038	-0.233
927	-0.108	-0.208	0.286
928	-0.113	-0.914	-0.462
929	-0.684	-0.614	-0.073
930	0.032	-0.523	-0.309
931	-0.335	-0.074	1.154
932	-0.135	-0.358	0.938
933	-0.822	-1.192	1.359
934	-0.332	-0.993	-0.113
935	-0.586	-0.391	-0.435
936	1.369	0.74	-1.129
937	-0.415	-0.324	-0.686
938	-1.141	-1.152	-0.904
939	0.74	1.092	-1.925
940	1.236	1.082	-0.932
941	0.078	-0.351	-1.054
942	-0.366	-0.968	-0.309
943	-0.467	-0.568	0.827
944	-2.036	-1.752	1.557
945	-0.081	-0.173	0.079
946	-1.141	-0.933	0.294
947	0.883	1.028	-1.683
948	0.56	0.334	-0.038
950	0.089	-0.137	-0.032
951	-0.198	-0.244	-0.059
952	0.117	-0.128	-1.02
953	-0.309	-0.548	-0.4
954	-0.226	-0.445	-1.436
955	0.233	-0.311	-0.703
956	-0.156	-0.128	-0.943
957	-0.524	-0.648	-0.156
958	0.002	0.109	-0.102
959	0.12	0.05	0.505
960	0.138	0.026	-1.02
961	-0.985	-1.411	0.267
962	0.083	-0.112	-0.57
963	0.267	-0.124	-0.724
964	-0.534	-0.409	-0.532
965	0.123	-0.456	-0.146
966	-0.051	-0.394	-0.371
967	-0.161	-0.173	-0.092
968	-0.607	-0.145	-0.903
969	0.168	0.22	0.066
971	-0.682	-0.713	-0.22
972	0.047	0.244	0.282
973	-0.395	-0.133	0.054
974	-0.279	-0.622	-0.757
975	-0.612	-0.731	0.514
976	1.032	0.621	-0.836
977	0.479	0.35	0.089
978	-0.955	-0.92	0.044
979	-0.032	0.438	-0.119
980	-0.307	-0.602	0.166
981	0.05	0.385	-0.447
982	1.882	2.179	-0.519
984	-0.052	-0.563	0.039
985	0.168	-0.035	-0.351
986	0.541	0.277	-0.245
988	-0.247	-0.716	-0.395
989	-0.1	-0.248	-0.558
990	0.234	0.208	-0.25
991	-0.533	-0.482	-0.053
993	0.395	0.084	-1.424
994	-1.066	-0.588	0.145
995	-0.258	-0.166	-0.182
997	0.249	-0.076	-1.22
998	0.009	-0.392	-0.015
999	-0.014	-0.203	-0.524
1000	-0.034	-0.025	-0.154
1001	0.814	1.199	-0.141
1002	-0.199	0.013	-0.373
1003	0.063	-0.405	-0.69
1004	-0.36	-0.516	-0.01
1005	-0.275	-0.352	1.378
1006	0.008	0.221	0.691
1007	-0.396	-0.223	-0.488
1008	-0.355	-0.556	0.472
1009	-0.428	-0.44	0.132
1010	-0.421	-0.377	0.879
1011	0.446	0.005	-0.428
1012	0.036	-0.453	-0.895
1013	0.218	-0.074	-0.024
1014	-1.132	-1.186	0.147
1015	0.319	0.184	-1.532
1016	0.324	0.347	0.127
1017	-0.629	-0.701	-0.421
1018	-1.784	-2.049	-0.181
1020	-1.668	-3.644	-0.208
1021	-0.22	-0.369	0.8
1022	-0.599	-0.888	0.172
1024	0.255	0.408	-0.828
1025	-0.082	-0.396	0.17
1027	0.308	0.589	0.003
1028	-0.085	0.28	-0.243
1029	-0.146	0.03	-0.323
1030	1.071	2.789	0.059
1031	-0.266	-0.586	0.586
1032	0.76	2.113	0.28
1033	1.057	1.899	0.058
1034	0.249	0.478	0.066
1035	-0.403	-0.978	0.361
1036	0.072	-0.047	-0.193
1037	0.099	-0.102	-0.551
1039	-0.864	-0.148	0.488
1040	-0.348	-0.214	-0.078
1041	-0.073	0.082	0.035
1042	0.293	0.227	-0.161
1043	0.243	0.516	-0.21
1045	-0.563	-0.443	0.228
1046	-0.133	0.002	0.952
1047	-0.175	-0.217	0.125
1048	0.05	-0.261	-0.018
1049	0.384	0.268	0.346
1051	0.223	0.185	0.402
