Row_ID	p_volc_dir|groups|oily-norm	p_volc_dir|base|sebum	p_volc_dir|base|skicon
1657	-0.713	-0.444	0.042
1660	0.184	0.405	-1.052
1661	0.287	-0.046	-0.314
1662	0.142	0.138	-0.087
1663	0.05	-0.306	-2.667
1664	-1.126	-2.042	0.334
1665	-0.291	-0.024	-0.357
1666	-0.465	-1.287	0.107
1668	0.503	0.493	0.39
1669	0.31	0.525	0.149
1670	-0.296	-0.662	-0.499
1671	-0.013	0.104	-0.281
1673	0.004	-0.105	-0.873
1674	-0.359	-0.798	-0.379
1676	-0.145	-0.195	-1.199
1677	-0.42	0	0.356
1678	-0.69	-0.575	-0.226
1679	0.743	0.767	0.576
1680	0.516	0.187	0.094
1681	-0.659	-0.656	-0.007
1682	0.398	0.55	-0.059
1683	-1.172	-1.214	2.981
1684	-0.46	-0.611	0.332
1685	0.671	-0.153	-0.118
1686	1.509	2.129	-1.706
1687	-0.614	-0.801	0.029
1690	0.147	-0.731	0.054
1691	-1.192	-0.943	-0.16
1692	0.619	0.258	-0.755
1693	-0.019	0.062	0.678
1694	1.776	1.627	-0.278
1695	-0.022	0.048	-0.189
1697	-0.967	-0.464	1.113
1698	0.198	0.263	-0.142
1699	0.386	-0.008	-0.432
1701	-0.453	-0.606	-0.264
1702	0.994	0.457	0.094
1704	-0.383	-0.771	0.402
1705	-0.493	-0.406	-0.123
1706	-1.632	-1.5	0.451
1709	-0.33	-0.161	-0.614
1710	-0.537	-1.145	0.983
1711	-0.487	-0.497	1.421
1712	-0.531	-0.981	0.149
1713	-0.601	-1.21	0.012
1714	-0.089	0.05	-0.272
1715	0.485	0.383	0.157
1716	-0.062	-0.562	0.414
1717	-0.221	-0.405	0.147
1718	-1.25	-1.026	0.485
1719	0.612	0.423	-0.2
1720	-0.574	-0.421	0.362
1721	-0.534	-0.733	0.766
1724	0.715	0.281	-1.098
1725	0.05	-0.039	0.348
1726	0.184	0.826	-0.581
1727	0.09	-0.024	0.327
1728	-0.182	-0.639	0.643
1729	0.021	-0.096	-0.393
1730	-0.055	-0.002	-0.002
1731	-0.419	-0.891	-0.277
1732	0.036	0.182	0.097
1734	0.186	0.159	0.944
1736	-0.483	-0.705	0.024
1737	-1.12	-1.204	1.814
1739	-0.656	-0.47	0.774
1740	-0.058	-0.602	-0.009
1741	-0.211	-0.98	0.84
1742	0.23	0.147	-0.439
1743	0.428	0.403	-0.64
1744	1.328	0.551	-0.452
1746	0.014	-0.283	1.076
1747	-1.263	-1.344	0.142
1748	0.022	-0.147	-0.699
1749	0.023	-0.369	-0.721
1751	0.581	0.41	-0.541
1752	0.228	0.278	0.392
1753	0.076	-0.302	-0.163
1754	-0.118	0.159	-0.256
1756	0.157	-0.198	-0.024
1757	-1.447	-0.843	0.932
1758	-0.445	-0.107	-1.054
