Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
928	0.77	0.122	0.345
929	0.207	0.243	0.845
930	0.928	0.3	0.491
931	0.463	0.843	0.07
932	0.733	0.439	0.115
933	0.151	0.064	0.044
934	0.465	0.102	0.771
935	0.26	0.406	0.367
936	0.043	0.182	0.074
937	0.385	0.474	0.206
938	0.072	0.071	0.125
939	0.182	0.081	0.012
940	0.058	0.083	0.117
941	0.836	0.446	0.088
942	0.431	0.108	0.491
943	0.341	0.27	0.149
944	0.009	0.018	0.028
945	0.829	0.672	0.834
946	0.072	0.117	0.508
947	0.131	0.094	0.021
948	0.276	0.464	0.916
950	0.815	0.73	0.929
951	0.635	0.57	0.874
952	0.764	0.745	0.095
953	0.49	0.283	0.398
954	0.594	0.359	0.037
955	0.585	0.489	0.198
956	0.698	0.745	0.114
957	0.299	0.225	0.698
958	0.995	0.779	0.791
959	0.759	0.892	0.312
960	0.729	0.942	0.096
961	0.103	0.039	0.541
962	0.825	0.772	0.269
963	0.54	0.751	0.189
964	0.292	0.39	0.293
965	0.754	0.35	0.715
966	0.889	0.404	0.426
967	0.69	0.671	0.809
968	0.247	0.717	0.125
969	0.679	0.603	0.859
971	0.208	0.194	0.603
972	0.898	0.571	0.522
973	0.402	0.737	0.884
974	0.526	0.239	0.175
975	0.244	0.186	0.306
976	0.093	0.239	0.146
977	0.332	0.447	0.814
978	0.111	0.12	0.904
979	0.93	0.365	0.76
980	0.493	0.25	0.682
981	0.892	0.412	0.357
982	0.013	0.007	0.303
984	0.888	0.274	0.914
985	0.679	0.923	0.445
986	0.288	0.528	0.568
988	0.567	0.193	0.403
989	0.794	0.565	0.277
990	0.583	0.62	0.563
991	0.293	0.329	0.886
993	0.403	0.825	0.038
994	0.086	0.258	0.716
995	0.552	0.682	0.657
997	0.563	0.84	0.06
998	0.979	0.405	0.965
999	0.969	0.627	0.299
1000	0.924	0.943	0.702
1001	0.154	0.063	0.723
1002	0.632	0.971	0.424
1003	0.865	0.393	0.204
1004	0.436	0.305	0.976
1005	0.531	0.445	0.042
1006	0.981	0.601	0.204
1007	0.402	0.599	0.325
1008	0.442	0.278	0.338
1009	0.373	0.363	0.738
1010	0.379	0.42	0.132
1011	0.358	0.988	0.373
1012	0.921	0.352	0.127
1013	0.605	0.843	0.947
1014	0.074	0.065	0.713
1015	0.48	0.655	0.029
1016	0.474	0.45	0.747
1017	0.235	0.199	0.379
1018	0.016	0.009	0.659
1020	0.021	0	0.619
1021	0.602	0.428	0.158
1022	0.252	0.129	0.673
1024	0.556	0.39	0.149
1025	0.827	0.402	0.676
1027	0.492	0.258	0.994
1028	0.822	0.525	0.571
1029	0.714	0.933	0.476
1030	0.085	0.002	0.872
1031	0.542	0.259	0.26
1032	0.174	0.008	0.525
