Row_ID	p_volc_dir|groups|oily-norm	p_volc_dir|base|sebum	p_volc_dir|base|skicon
938	0.157	-0.087	-0.142
939	-0.056	-0.044	0.002
940	-0.234	-0.359	0.128
941	-0.302	-0.326	0.711
942	-0.036	-0.053	0.836
943	0.273	0.963	0.204
945	-0.14	-0.527	-0.448
946	0.051	-0.203	-0.721
949	-0.446	0.095	0.705
950	0.056	-0.046	-0.527
952	-0.473	-0.394	-0.089
953	0.843	1.442	0.698
954	-0.022	-0.353	-0.786
955	-0.062	0.007	0.524
956	-0.336	-0.397	-0.083
957	0.773	0.236	-0.978
959	-0.781	-0.246	-0.272
960	1.257	0.622	0.026
962	0.241	0.132	-0.969
963	0.243	0.141	-0.637
964	-1.418	-0.974	1.054
965	-0.399	-0.866	-1.137
966	0.348	-0.385	-0.895
967	-0.22	-0.262	0.114
968	-1.015	-0.334	-0.716
969	0.304	0.099	0.23
971	-0.219	0.213	-0.681
972	0.427	0.734	-1.758
973	-0.656	-0.352	0.696
975	-0.117	-0.088	1.364
976	0.217	-0.194	1.308
977	0.398	0.187	-0.046
978	-0.126	-0.158	-0.548
979	-0.014	-0.072	0.466
980	0.176	-0.15	0.551
981	0.371	0.879	0.352
982	-0.922	-0.563	-0.771
983	-0.235	0.021	0.979
984	-0.358	-0.337	0.967
985	-0.58	-0.188	0.49
986	0.469	-0.028	-1.096
987	0.212	-0.118	0.896
988	-1.188	-0.296	0.636
989	1.122	0.777	0.266
990	-0.343	-0.629	-1.018
991	-0.388	-0.676	0.121
992	0.003	0.092	-0.719
993	0.416	0.414	-0.304
994	-0.036	0.305	-0.261
995	0.051	0.165	0.027
997	0.022	-0.161	-0.049
999	0.12	0.107	0.927
1001	0.794	0.512	0.779
1002	0.792	1.277	0.462
1004	0.256	0.776	-0.246
1005	-0.671	-0.729	0.374
1006	0.386	0.686	-0.05
1007	0.155	0.029	-0.337
1008	-0.883	-1.2	0.807
1009	0.198	0.177	-0.342
1010	0.091	0.164	0.064
1011	0.327	-0.027	-0.399
1012	0.354	0.425	-0.746
1014	0.188	0.038	-0.245
1015	0.251	-0.209	-0.347
1016	0.082	0.111	-0.026
1017	-0.399	-0.343	0.026
1019	0.183	0.498	0.766
1020	-2.156	-1.28	0.193
1021	-0.071	-0.531	0.082
1022	-0.192	-0.444	1.433
1023	-1.289	-1.948	0.017
1024	0.416	-0.084	-0.614
1025	0.349	-0.012	-0.9
1026	0.1	0.125	0.068
1027	0.175	-0.397	0.634
1028	-0.029	0.057	1.298
1029	0.198	0.911	0.688
1030	0.49	0.986	-0.807
1031	0.26	0.423	-0.166
1034	0.429	0.304	-0.162
1036	1.287	1.377	-0.635
1037	0.093	-0.261	-0.324
1038	0.403	0.065	-0.946
1039	-0.753	-0.167	0.616
1040	0.825	0.664	-0.06
1042	0.577	0.596	-0.311
1043	0.351	0.373	-0.506
1044	0.154	0.08	-0.183
1046	-0.058	-0.265	1.111
1047	0.68	0.257	-0.179
1048	0.874	0.674	1.244
1050	1.035	0.843	-0.569
1051	-0.241	-0.196	0.275
1053	-0.215	-0.149	1.163
1054	-0.038	0	0.09
