Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
5130	< 0.1	< 0.1	
5131			< 0.1
5136			< 0.1
5137		< 0.1	
5146			< 0.1
5150	< 0.01	< 0.01	
5152	< 0.1	< 0.1	
5168	< 0.1		
5172		< 0.1	< 0.1
5206			< 0.1
5207	< 0.1	< 0.1	
5208	< 0.1	< 0.1	< 0.1
5223			< 0.1
5229	< 0.1	< 0.1	< 0.1
5235			< 0.1
5240		< 0.1	
5245			< 0.1
5253			< 0.1
5256			< 0.1
5291		< 0.1	
5294			< 0.1
5304			< 0.1
5308	< 0.1	< 0.1	
5311			< 0.1
5314			< 0.1
5318			< 0.1
5337		< 0.1	
5353	< 0.1		
5385		< 0.1	
5388			< 0.1
5392	< 0.1		
5394			< 0.1
5398			< 0.1
5411			< 0.1
5413		< 0.1	
5423		< 0.1	
5426	< 0.1		
5428	< 0.1	< 0.1	< 0.1
5440		< 0.1	
5457	< 0.1		
5472	< 0.1	< 0.1	
5479		< 0.01	
5489	< 0.1		
5498			< 0.1
5503		< 0.1	
5505	< 0.1	< 0.1	
5508		< 0.1	
5517			< 0.001
5518	< 0.001	< 0.001	
5527	< 0.1	< 0.1	< 0.1
5531	< 0.1		< 0.1
5533		< 0.1	
5534	< 0.1		
5537			< 0.1
5541			< 0.1
5546			< 0.1
5548	< 0.1		< 0.1
5549			< 0.1
5566		< 0.1	
5572		< 0.1	
5578	< 0.1		
5591	< 0.1	< 0.1	< 0.1
5600	< 0.1		
5615			< 0.1
5620		< 0.1	
5625		< 0.1	
5628			< 0.1
5631		< 0.1	
5634			< 0.1
5655	< 0.1	< 0.1	
5702	< 0.1	< 0.1	
5704		< 0.1	
5715	< 0.1	< 0.1	< 0.1
5716			< 0.1
5728			< 0.1
5740			< 0.1
5741		< 0.1	
5755	< 0.1	< 0.1	
5795		< 0.1	
5801			< 0.1
5807		< 0.1	
5823		< 0.1	
5836		< 0.1	
5843	< 0.1	< 0.1	
5844		< 0.1	
5850	< 0.1	< 0.1	
5859	< 0.1		
5863	< 0.1		
5870			< 0.1
5911	< 0.01	< 0.001	
5922		< 0.1	
5956			< 0.1
5973			< 0.1
5977	< 0.1	< 0.1	
5980			< 0.1
5985			< 0.1
5989		< 0.1	
5990	< 0.1	< 0.1	
6000		< 0.1	< 0.001
6020			< 0.1
6023		< 0.1	
6033	< 0.01	< 0.01	
6036			< 0.1
6064		< 0.1	< 0.1
6076			< 0.1
6108		< 0.1	
6120			< 0.1
6140			< 0.1
6144			< 0.01
6155			< 0.1
6156		< 0.1	
6165	< 0.1	< 0.1	
6167		< 0.1	
6168			< 0.1
6172			< 0.1
6177	< 0.1		
6196			< 0.1
6222			< 0.1
6224	< 0.1		
6229	< 0.1	< 0.1	
6233			< 0.1
6234		< 0.1	
6248			< 0.1
6279		< 0.1	
6280			< 0.1
6281	< 0.1		
6288		< 0.1	
6316			< 0.1
6319	< 0.1	< 0.001	
6341		< 0.1	
6345	< 0.1	< 0.1	
6361			< 0.1
6362	< 0.1		< 0.1
6386			< 0.1
6391			< 0.1
6393			< 0.01
6402			< 0.1
6403	< 0.1	< 0.1	
6404		< 0.01	
6407		< 0.1	
6414	< 0.1	< 0.1	
6416			< 0.1
6419	< 0.1		
6478			< 0.1
6491			< 0.1
6501			< 0.1
6519		< 0.1	< 0.01
6524	< 0.01		
6564	< 0.1		< 0.1
6565			< 0.1
6571			< 0.1
6575		< 0.1	
6592	< 0.1		< 0.1
6594	< 0.1	< 0.1	
6602	< 0.1	< 0.1	
6616		< 0.01	< 0.1
6642	< 0.1	< 0.1	< 0.01
6674			< 0.1
6683			< 0.1
6699		< 0.1	
6723			< 0.1
6740			< 0.1
6741	< 0.01	< 0.1	
6746			< 0.1
6747		< 0.1	
6749		< 0.1	
6760	< 0.1		
6772		< 0.1	
6776	< 0.1		
6786			< 0.1
6787		< 0.1	
6791			< 0.1
6808		< 0.1	
6812			< 0.1
6813			< 0.1
6816	< 0.1	< 0.1	< 0.1
6819			< 0.1
6821	< 0.1	< 0.1	
6823		< 0.1	
6824		< 0.1	< 0.1
6828		< 0.1	
6829	< 0.1	< 0.1	
6831	< 0.1	< 0.1	
6832			< 0.01
6838			< 0.1
6842			< 0.1
6843		< 0.1	
6844	< 0.1		
6847	< 0.1		
6848		< 0.1	< 0.1
6858	< 0.1	< 0.1	
6865	< 0.1	< 0.01	
6890			< 0.1
6894	< 0.1	< 0.1	< 0.1
6896			< 0.1
6899			< 0.1
6900			< 0.1
6904			< 0.1
6911			< 0.1
6927		< 0.1	
6930		< 0.1	
6937			< 0.1
6938	< 0.1		
6940			< 0.1
6949			< 0.1
6951		< 0.1	
6955	< 0.01	< 0.01	
6960		< 0.1	
6962		< 0.1	< 0.1
6968		< 0.1	
6969		< 0.1	
6974	< 0.1		
6977			< 0.01
6979		< 0.1	
6985		< 0.1	< 0.1
6992	< 0.1	< 0.01	< 0.1
6998	< 0.01	< 0.01	< 0.1
7005			< 0.1
7009			< 0.1
7011		< 0.1	
7014		< 0.1	
7017			< 0.1
7021			< 0.1
7028			< 0.1
7030			< 0.01
7036	< 0.1	< 0.01	
7048			< 0.1
7052		< 0.1	
7055			< 0.1
7056	< 0.1		
7069		< 0.1	
7072		< 0.1	
7073	< 0.1	< 0.01	
7083	< 0.1	< 0.1	< 0.1
7084	< 0.1	< 0.1	< 0.1
7086			< 0.01
7093			< 0.01
7095			< 0.1
7102			< 0.1
7110	< 0.1		< 0.01
7118			< 0.01
7120	< 0.1	< 0.1	
7129			< 0.1
7135		< 0.01	
7137	< 0.1	< 0.1	
7143	< 0.1		
7165			< 0.1
7168			< 0.1
7172			< 0.1
7177	< 0.1		< 0.01
7179	< 0.1	< 0.1	
7184			< 0.1
7187			< 0.01
7191			< 0.1
7204		< 0.1	< 0.1
7214		< 0.1	
7216		< 0.1	
7220	< 0.1		
7224		< 0.1	< 0.1
7229			< 0.1
7235			< 0.1
7240	< 0.1	< 0.1	< 0.1
