Row_ID	p_value|groups|oily-norm	p_value|base|sebum	p_value|base|skicon
1976	0.877	0.961	0.812
1977	0.436	0.767	0.121
1978	0.422	0.285	0.135
1980	0.3	0.128	0.607
1981	0.205	0.687	0.221
1982	0.315	0.612	0.224
1983	0.225	0.096	0.057
1984	0.683	0.562	0.063
1985	0.261	0.109	0.016
1988	0.124	0.131	0.222
1989	0.982	0.754	0.64
1990	0.022	0.082	0.084
1991	0.235	0.33	0.789
1992	0.676	0.64	0.521
1993	0.545	0.923	0.672
1994	0.128	0.059	0.513
1995	0.848	0.977	0.934
1996	0.635	0.492	0.185
1997	0.471	0.88	0.644
1998	0.6	0.703	0.26
1999	0.125	0.147	0.918
2001	0.748	0.606	0.816
2002	0.454	0.961	0.023
2003	0.486	0.223	0.273
2005	0.184	0.171	0.329
2006	0.826	0.788	0.576
2007	0.869	0.799	0.321
2008	0.698	0.672	0.361
2009	0.65	0.51	0.555
2010	0.639	0.973	0.002
2011	0.41	0.975	0.2
2012	0.271	0.508	0.555
2014	0.708	0.155	0.343
2015	0.593	0.371	0.48
2016	0.296	0.658	0.112
2017	0.942	0.525	0.96
2018	0.077	0.757	0.108
2019	0.455	0.867	0.688
2020	0.122	0.189	0.559
2021	0.283	0.205	0.526
2022	0.672	0.819	0.091
2026	0.925	0.781	0.623
2027	0.217	0.364	0.371
2028	0.329	0.737	0.007
2029	0.146	0.636	0.138
2032	0.049	0.027	0.578
2034	0.495	0.482	0.976
2035	0.426	0.337	0.555
2036	0.745	0.366	0.468
2037	0.761	0.827	0.43
2039	0.884	0.732	0.966
2040	0.473	0.363	0.548
2041	0.226	0.253	0.097
2042	0.089	0.033	0.256
2046	0.317	0.513	0.313
2047	0.599	0.45	0.042
2048	0.769	0.562	0.071
2049	0.424	0.771	0.065
2051	0.252	0.759	0.125
2054	0.101	0.335	0.059
2055	0.857	0.679	0.316
2056	0.484	0.264	0.595
2058	0.42	0.858	0.013
2060	0.295	0.057	0.904
2061	0.88	0.9	0.123
2065	0.564	0.921	0.112
2066	0.769	0.499	0.631
2067	0.215	0.391	0.884
2068	0.704	0.5	0.594
2069	0.583	0.692	0.341
2071	0.817	0.343	0.01
2072	0.596	0.114	0.192
2073	0.917	0.998	0.032
2076	0.283	0.602	0.073
2077	0.555	0.46	0.719
2078	0.651	0.275	0.237
2079	0.515	0.81	0.066
2080	0.05	0.369	0.078
