Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
2803	Dn, < 0.01	Dn, < 0.01	
2804			Up, < 0.1
2812		Dn, < 0.1	
2815			Dn, < 0.1
2817			Dn, < 0.1
2835			Dn, < 0.01
2836	Up, < 0.1	Up, < 0.1	Dn, < 0.1
2841			Up, < 0.1
2844			Dn, < 0.1
2847	Up, < 0.1		
2849			Dn, < 0.1
2866			Up, < 0.1
2870			Dn, < 0.1
2875	Up, < 0.1		
2880		Up, < 0.1	
2883			Up, < 0.1
2887	Dn, < 0.1	Dn, < 0.1	
2888			Dn, < 0.1
2890			Dn, < 0.1
2894	Dn, < 0.01	Dn, < 0.1	
2902	Up, < 0.1	Up, < 0.01	Dn, < 0.1
2904			Dn, < 0.1
2907	Dn, < 0.1	Dn, < 0.1	
2911	Dn, < 0.1		
2914		Dn, < 0.1	
2918	Dn, < 0.1		
2919			Up, < 0.1
2926			Up, < 0.1
2928			Up, < 0.1
2936		Dn, < 0.1	
2938	Dn, < 0.1		
2940	Up, < 0.1		
2945			Dn, < 0.1
2949			Up, < 0.1
2953		Up, < 0.1	
2956			Dn, < 0.01
2961			Dn, < 0.01
2964			Up, < 0.1
2967			Up, < 0.1
2969			Up, < 0.01
2972	Dn, < 0.1		Up, < 0.1
2989			Dn, < 0.1
3003		Dn, < 0.1	Up, < 0.01
3015	Up, < 0.1		
3019			Dn, < 0.1
3023			Dn, < 0.1
3026			Up, < 0.1
3035		Up, < 0.1	
3044	Dn, < 0.01	Dn, < 0.01	
3056			Up, < 0.1
3060		Dn, < 0.1	
3061	Dn, < 0.1	Dn, < 0.1	
3063	Up, < 0.1		Dn, < 0.1
3067			Dn, < 0.1
3072			Dn, < 0.1
3074			Dn, < 0.1
3078	Dn, < 0.01	Dn, < 0.1	
3085	Dn, < 0.1	Dn, < 0.1	
3088	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
3089	Dn, < 0.1	Dn, < 0.1	
3090	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
3091	Up, < 0.1		Dn, < 0.001
3095		Dn, < 0.1	
3096			Dn, < 0.1
3097			Dn, < 0.1
3104		Dn, < 0.1	
3106			Dn, < 0.1
3108	Up, < 0.1	Up, < 0.01	
3114	Up, < 0.1		Dn, < 0.1
3115		Up, < 0.1	
3117			Up, < 0.1
3122			Up, < 0.1
3125			Dn, < 0.1
3134		Up, < 0.1	
3146			Dn, < 0.1
3148			Dn, < 0.1
3153			Up, < 0.1
3154		Up, < 0.1	
3158			Up, < 0.1
3165			Dn, < 0.1
3166			Up, < 0.1
3169	Up, < 0.1	Up, < 0.01	
3170		Dn, < 0.1	
3172			Dn, < 0.1
3179	Dn, < 0.1		
3193			Dn, < 0.1
3199			Up, < 0.1
3202	Up, < 0.1	Up, < 0.1	
3210		Up, < 0.1	
3225	Dn, < 0.1		
3227			Up, < 0.1
3229			Dn, < 0.1
3234	Dn, < 0.01	Dn, < 0.1	
3236			Up, < 0.1
3238			Dn, < 0.1
3241	Dn, < 0.1	Dn, < 0.1	
3249			Up, < 0.1
3276	Dn, < 0.1		
3278			Up, < 0.1
3280	Dn, < 0.1		
3282		Up, < 0.01	
3289	Up, < 0.1	Up, < 0.1	
3295			Dn, < 0.01
3297			Dn, < 0.1
3304			Dn, < 0.1
3307			Dn, < 0.1
3308		Up, < 0.1	Dn, < 0.1
3309			Dn, < 0.1
3316	Up, < 0.1		Dn, < 0.1
3321			Dn, < 0.1
3325		Up, < 0.1	Dn, < 0.1
3327	Up, < 0.1		
3328		Up, < 0.1	
3329			Dn, < 0.1
3332			Dn, < 0.1
3335	Up, < 0.1		Dn, < 0.1
3336			Dn, < 0.1
3342	Up, < 0.1	Up, < 0.1	
3343		Up, < 0.1	
3348		Dn, < 0.1	Up, < 0.1
3349		Up, < 0.1	Dn, < 0.1
3357			Dn, < 0.1
3365			Dn, < 0.1
3366			Dn, < 0.1
3377	Up, < 0.1	Up, < 0.1	
3379	Up, < 0.1		
3388			Dn, < 0.1
3390	Up, < 0.1	Up, < 0.01	
3402			Dn, < 0.01
3407		Dn, < 0.1	
3417	Up, < 0.01	Up, < 0.1	Dn, < 0.01
3418			Up, < 0.1
3422	Up, < 0.1	Up, < 0.1	
3423			Dn, < 0.1
3426	Up, < 0.1	Up, < 0.01	
3427		Up, < 0.1	
3431		Up, < 0.1	Dn, < 0.1
3433	Up, < 0.1	Up, < 0.1	Dn, < 0.1
3435		Up, < 0.01	
3437			Dn, < 0.1
3439			Dn, < 0.001
3441		Up, < 0.1	
3443			Dn, < 0.1
3452	Up, < 0.1	Up, < 0.1	
3453	Up, < 0.1		
3454			Dn, < 0.1
3458			Dn, < 0.1
3460			Dn, < 0.1
3467	Up, < 0.01	Up, < 0.1	Dn, < 0.001
3480	Dn, < 0.1		Up, < 0.1
3482	Up, < 0.1	Up, < 0.1	Dn, < 0.1
3484		Up, < 0.1	
3488	Up, < 0.1	Up, < 0.01	Dn, < 0.1
3490			Up, < 0.1
3494			Up, < 0.1
3495			Dn, < 0.1
3501			Dn, < 0.1
3504			Dn, < 0.1
3511	Up, < 0.1		Dn, < 0.1
3515			Dn, < 0.1
3516		Up, < 0.1	
3519			Dn, < 0.1
3521			Dn, < 0.1
3524			Dn, < 0.1
3526	Up, < 0.1		Dn, < 0.1
3534	Up, < 0.1	Up, < 0.1	
3535			Dn, < 0.1
3539	Up, < 0.1		
3542			Dn, < 0.1
3547	Up, < 0.1	Up, < 0.1	
3555		Up, < 0.1	
3556	Up, < 0.1		Dn, < 0.01
3557			Dn, < 0.001
3565			Dn, < 0.1
3567		Dn, < 0.1	Up, < 0.1
3570			Dn, < 0.1
3574			Dn, < 0.1
3581		Up, < 0.1	Dn, < 0.01
3586	Up, < 0.01	Up, < 0.01	Dn, < 0.1
3590			Dn, < 0.01
3591	Up, < 0.1	Up, < 0.1	
3592	Dn, < 0.1		
3598			Dn, < 0.1
3599			Dn, < 0.1
3609			Dn, < 0.01
