Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
2439			Dn, < 0.1
2441	Dn, < 0.1	Dn, < 0.1	
2442			Up, < 0.1
2445	Dn, < 0.1		Dn, < 0.1
2449	Up, < 0.1	Up, < 0.01	
2451			Up, < 0.1
2454			Dn, < 0.01
2455	Dn, < 0.1		
2456		Dn, < 0.1	
2457		Dn, < 0.1	
2458	Up, < 0.1		
2459	Dn, < 0.01	Dn, < 0.1	
2463	Dn, < 0.1	Dn, < 0.1	
2464			Up, < 0.1
2466	Dn, < 0.01	Dn, < 0.01	
2471	Dn, < 0.1	Dn, < 0.1	
2474	Dn, < 0.1	Dn, < 0.1	
2477	Dn, < 0.1	Dn, < 0.1	
2478	Dn, < 0.1	Dn, < 0.1	
2481			Dn, < 0.1
2486			Up, < 0.1
2491			Up, < 0.1
2493		Dn, < 0.1	Up, < 0.1
2494	Dn, < 0.001	Dn, < 0.01	
2495			Up, < 0.1
2498		Dn, < 0.1	
2499		Dn, < 0.1	
2500			Dn, < 0.01
2502	Dn, < 0.1		
2504	Up, < 0.1	Up, < 0.1	
2505		Dn, < 0.1	
2507		Dn, < 0.1	
2512	Dn, < 0.1		
2517	Dn, < 0.01	Dn, < 0.01	
2520	Dn, < 0.01	Dn, < 0.01	
2524			Up, < 0.1
2527	Dn, < 0.1	Dn, < 0.01	
2528		Dn, < 0.1	
2533	Dn, < 0.01	Dn, < 0.1	
2534		Dn, < 0.1	
2535	Dn, < 0.01	Dn, < 0.01	
2539		Dn, < 0.1	
2541	Dn, < 0.01	Dn, < 0.01	
2545	Dn, < 0.1	Dn, < 0.1	
2548			Up, < 0.1
2558	Dn, < 0.1	Dn, < 0.1	
2559			Up, < 0.1
2562	Dn, < 0.1	Dn, < 0.1	
2563			Dn, < 0.01
2568	Dn, < 0.1	Dn, < 0.1	
2572			Dn, < 0.1
2573			Up, < 0.1
2574			Up, < 0.1
2579			Up, < 0.1
2580		Dn, < 0.01	
2582			Up, < 0.01
2583		Up, < 0.1	
