Row_ID	p_cat_dir|groups|oily-norm	p_cat_dir|base|sebum	p_cat_dir|base|skicon
3075			Up, < 0.01
3079			Up, < 0.1
3080			Dn, < 0.1
3087		Dn, < 0.1	
3091			Dn, < 0.1
3092	Dn, < 0.01	Dn, < 0.1	Up, < 0.1
3096			Dn, < 0.1
3103		Dn, < 0.1	
3106			Dn, < 0.1
3111			Up, < 0.1
3112		Dn, < 0.1	
3116			Dn, < 0.1
3119			Dn, < 0.1
3122	Up, < 0.1	Up, < 0.01	
3123	Up, < 0.01	Up, < 0.1	
3125			Up, < 0.1
3130	Dn, < 0.1	Dn, < 0.1	
3131		Dn, < 0.1	
3132	Dn, < 0.01	Dn, < 0.01	
3140	Up, < 0.1	Up, < 0.01	Dn, < 0.1
3141			Dn, < 0.1
3142		Up, < 0.1	
3145			Dn, < 0.1
3147	Dn, < 0.1		
3151			Dn, < 0.1
3165			Dn, < 0.1
3167	Up, < 0.1	Up, < 0.1	Dn, < 0.1
3170			Dn, < 0.1
3171			Dn, < 0.1
3184	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
3191		Dn, < 0.1	
3192		Up, < 0.1	
3195	Dn, < 0.1		
3198	Up, < 0.1		
3199		Dn, < 0.1	
3214			Dn, < 0.1
3218	Dn, < 0.1		
3230	Up, < 0.1	Up, < 0.1	
3231	Up, < 0.1	Up, < 0.1	
3236		Up, < 0.1	
3237		Dn, < 0.1	
3238			Dn, < 0.1
3240	Up, < 0.1		Dn, < 0.1
3247			Dn, < 0.1
3250		Up, < 0.1	
3251			Dn, < 0.1
3255		Dn, < 0.1	
3272		Up, < 0.1	
3280			Dn, < 0.1
3295			Dn, < 0.1
3303	Dn, < 0.01	Dn, < 0.01	Up, < 0.1
3304			Up, < 0.1
3309	Dn, < 0.1	Dn, < 0.1	
3314			Up, < 0.1
3316		Dn, < 0.1	Dn, < 0.1
3318	Up, < 0.1	Up, < 0.1	
3320			Up, < 0.1
3322			Up, < 0.1
3327	Dn, < 0.1		Dn, < 0.1
3330		Dn, < 0.1	
3333		Dn, < 0.1	
3341		Up, < 0.1	
3343			Dn, < 0.1
3349			Dn, < 0.1
3351		Dn, < 0.1	
3357			Up, < 0.1
3363	Dn, < 0.1		
3370	Dn, < 0.1		
3383		Up, < 0.1	
3387			Dn, < 0.1
3393	Up, < 0.1	Up, < 0.1	
3395		Dn, < 0.1	
3407		Up, < 0.1	Dn, < 0.01
3409		Up, < 0.1	
3414		Up, < 0.1	
3430			Up, < 0.1
3434		Up, < 0.1	
3446		Dn, < 0.1	Up, < 0.01
3455			Up, < 0.01
3459	Dn, < 0.1	Dn, < 0.01	
3461	Dn, < 0.1	Dn, < 0.1	
3462	Up, < 0.1	Up, < 0.01	
3470			Up, < 0.1
3477			Dn, < 0.1
3483			Up, < 0.1
3486		Up, < 0.1	
3487			Up, < 0.1
3495	Up, < 0.1	Up, < 0.01	
3504		Dn, < 0.1	
3505		Up, < 0.1	Dn, < 0.1
3507			Dn, < 0.1
3510			Dn, < 0.1
3527			Up, < 0.1
3535	Up, < 0.1	Up, < 0.1	
3536			Up, < 0.1
3540		Up, < 0.1	
3543			Up, < 0.1
3545	Up, < 0.1	Up, < 0.1	Dn, < 0.1
3546	Up, < 0.1	Up, < 0.1	Dn, < 0.1
3548			Dn, < 0.1
3556	Dn, < 0.1	Dn, < 0.1	
3557	Up, < 0.1	Up, < 0.1	Dn, < 0.01
3561			Dn, < 0.1
3563	Dn, < 0.1	Dn, < 0.1	
3565			Dn, < 0.1
3579		Dn, < 0.1	
3588			Dn, < 0.1
3590			Up, < 0.1
3592	Dn, < 0.1	Dn, < 0.1	
3604			Dn, < 0.1
3605			Dn, < 0.1
3607	Dn, < 0.1	Dn, < 0.1	
3610	Up, < 0.1	Up, < 0.01	
3613			Dn, < 0.1
3622		Dn, < 0.1	
3624	Up, < 0.1	Up, < 0.1	
3635			Up, < 0.1
3641		Up, < 0.1	
3647	Up, < 0.1	Up, < 0.1	
3648		Up, < 0.1	Dn, < 0.1
3654	Up, < 0.1	Up, < 0.1	
3659	Up, < 0.1	Up, < 0.1	
3665		Dn, < 0.1	
3666	Dn, < 0.1	Dn, < 0.1	Up, < 0.1
3670		Dn, < 0.1	Up, < 0.1
3685	Up, < 0.1	Up, < 0.1	Dn, < 0.1
3689	Up, < 0.1	Up, < 0.1	
3697		Up, < 0.1	
3698		Dn, < 0.1	Dn, < 0.1
3703			Dn, < 0.1
3706			Dn, < 0.1
