Row_ID	p_cat|groups|oily-norm	p_cat|base|sebum	p_cat|base|skicon
4121	< 0.1	< 0.1	
4124			< 0.1
4125	< 0.1		
4132	< 0.1	< 0.1	
4135	< 0.1		
4140	< 0.1		
4143			< 0.1
4146	< 0.1	< 0.1	< 0.1
4151	< 0.1		
4154	< 0.01		< 0.1
4158			< 0.1
4161		< 0.01	
4163			< 0.1
4164	< 0.1		
4172		< 0.1	
4178			< 0.1
4184		< 0.1	
4186			< 0.01
4192	< 0.1	< 0.1	
4193	< 0.1	< 0.1	< 0.1
4194	< 0.01		
4195		< 0.1	
4201			< 0.01
4214			< 0.1
4216			< 0.1
4230		< 0.1	
4231			< 0.01
4235	< 0.1		
4239	< 0.1	< 0.1	
4241			< 0.01
4243			< 0.001
4245	< 0.1	< 0.1	
4247	< 0.01	< 0.1	< 0.01
4253	< 0.1	< 0.1	
4256	< 0.1		
4261	< 0.1		
4262			< 0.1
4263	< 0.1		
4264		< 0.1	
4270			< 0.1
4281	< 0.1	< 0.1	
4283			< 0.01
4288			< 0.1
4289			< 0.01
4290		< 0.1	
4292	< 0.1	< 0.01	< 0.1
4298	< 0.01	< 0.01	
4301	< 0.1		
4309			< 0.1
4312	< 0.1		
4316			< 0.1
4319	< 0.1		
4325			< 0.1
4340			< 0.1
4343	< 0.1	< 0.1	
4345			< 0.1
4346	< 0.1	< 0.01	
4359	< 0.1	< 0.1	< 0.1
4361	< 0.1	< 0.1	< 0.1
4362			< 0.1
4364			< 0.1
4365		< 0.1	
4368	< 0.1		< 0.1
4376		< 0.1	< 0.1
4383			< 0.1
4391			< 0.01
4396		< 0.1	
4397			< 0.001
4400			< 0.1
4401		< 0.1	< 0.1
4402			< 0.1
4405		< 0.1	
4408			< 0.1
4421			< 0.1
4426	< 0.1	< 0.01	< 0.1
4428	< 0.1		
4430	< 0.1	< 0.1	
4442	< 0.1	< 0.1	
4448			< 0.1
4455			< 0.01
4458	< 0.1		
4459	< 0.1	< 0.1	
4469	< 0.1	< 0.1	
4475			< 0.1
4486		< 0.01	
4489		< 0.1	
4490	< 0.1	< 0.01	
4491			< 0.1
4492	< 0.1	< 0.1	< 0.1
4503			< 0.1
4505	< 0.1	< 0.1	< 0.1
4506	< 0.1	< 0.1	< 0.1
4512		< 0.1	
4513	< 0.01	< 0.01	< 0.1
4517	< 0.1	< 0.1	
4521			< 0.01
4522			< 0.1
4525			< 0.1
4529			< 0.1
4531		< 0.1	
4532	< 0.1	< 0.1	< 0.01
4535			< 0.1
4537			< 0.01
4542			< 0.1
4548			< 0.1
4551			< 0.1
4554			< 0.1
4558		< 0.1	
4559			< 0.1
4565		< 0.1	
4567	< 0.1		
4568	< 0.1	< 0.1	
4577			< 0.1
4578			< 0.1
4582			< 0.1
4583			< 0.1
4590			< 0.1
4598	< 0.1	< 0.1	
4600	< 0.1	< 0.1	
4604			< 0.1
4605			< 0.1
4625	< 0.1	< 0.1	
4636		< 0.1	
4638			< 0.1
4643	< 0.1	< 0.1	
4652	< 0.1	< 0.1	
4655	< 0.1	< 0.1	
4661			< 0.01
4662	< 0.1		< 0.1
4666	< 0.01	< 0.1	< 0.1
4669			< 0.1
4671	< 0.1	< 0.1	
4673	< 0.1	< 0.01	
4674			< 0.1
4675			< 0.001
4677	< 0.1	< 0.1	
4683			< 0.001
4685			< 0.1
4697			< 0.1
4706			< 0.1
4711			< 0.01
4716		< 0.1	
4719		< 0.1	
4724			< 0.01
4727	< 0.1		
4731	< 0.1	< 0.1	
4732		< 0.1	< 0.1
4734		< 0.1	
4739			< 0.1
4741	< 0.1		< 0.1
4743	< 0.1	< 0.1	< 0.1
4744	< 0.1		< 0.1
4758			< 0.1
4760	< 0.1		
4765		< 0.1	
4767			< 0.1
4769			< 0.1
4772	< 0.1	< 0.1	
4776			< 0.1
4777			< 0.1
4780		< 0.1	< 0.1
4783			< 0.1
4784			< 0.1
4787	< 0.1	< 0.1	
4788			< 0.1
4792		< 0.1	
4793			< 0.1
4794			< 0.1
4801	< 0.1	< 0.1	
4802			< 0.1
4803			< 0.1
4805	< 0.1	< 0.1	< 0.1
4807			< 0.1
4808		< 0.1	
4825			< 0.1
4828			< 0.1
4834		< 0.1	
4842			< 0.1
4848		< 0.1	
4849			< 0.1
4851			< 0.1
4856		< 0.1	
4868		< 0.1	
4870	< 0.1	< 0.1	
4871		< 0.1	
4872	< 0.1	< 0.001	
4879	< 0.1		
4880			< 0.001
4884	< 0.01	< 0.1	
4887		< 0.1	
4889		< 0.1	< 0.1
4891	< 0.01	< 0.01	< 0.1
4892			< 0.1
4894	< 0.01	< 0.1	
4895		< 0.1	
4898	< 0.01	< 0.01	< 0.1
4907		< 0.1	
4915			< 0.1
4920	< 0.1	< 0.1	
4922		< 0.1	
4924	< 0.1	< 0.1	
4937			< 0.1
4940			< 0.1
4952			< 0.1
4954			< 0.1
4965	< 0.1		
4970			< 0.1
4972		< 0.01	
4974			< 0.1
4978			< 0.1
4979		< 0.1	< 0.1
4980			< 0.001
4986	< 0.1	< 0.1	
4988		< 0.1	
4990	< 0.1	< 0.1	
4992			< 0.1
4994	< 0.1		
4995	< 0.1	< 0.1	
4997	< 0.1		< 0.1
5002			< 0.1
5011			< 0.1
5012			< 0.1
5021			< 0.1
5029		< 0.1	
5033			< 0.1
5034			< 0.1
5038			< 0.1
5039			< 0.1
5040			< 0.1
5043			< 0.1
5045	< 0.1		
5047			< 0.1
5058			< 0.1
5060			< 0.01
5066			< 0.1
5067			< 0.1
5068			< 0.1
5072			< 0.1
5074			< 0.1
5075			< 0.1
5081			< 0.1
5083			< 0.1
5084			< 0.1
5085	< 0.1		
5086			< 0.1
5087	< 0.1		
5090	< 0.1	< 0.1	
5092	< 0.1	< 0.1	
5093			< 0.1
5094			< 0.001
5097		< 0.1	< 0.1
5099			< 0.1
5101			< 0.1
5104			< 0.1
5105			< 0.1
5107			< 0.1
5110	< 0.1	< 0.1	
5111			< 0.1
5114		< 0.1	
5120	< 0.1	< 0.1	
5123			< 0.1
5124			< 0.1
5125			< 0.1
5127			< 0.1
5128			< 0.1
5134			< 0.1
5135			< 0.1
5136			< 0.01
5137			< 0.1
5138			< 0.1
5139	< 0.1		
5140		< 0.1	
5144			< 0.01
5148	< 0.1	< 0.1	
5149			< 0.1
5153			< 0.1
5157	< 0.1	< 0.1	
5159			< 0.1
5160	< 0.1		
5165			< 0.1
5166	< 0.1		
5167			< 0.1
5170			< 0.1
5171			< 0.1
5172	< 0.1		
5174			< 0.1
5175			< 0.1
5180			< 0.1
5182			< 0.1
5186	< 0.1	< 0.1	
5187	< 0.1		
5188	< 0.1		
5193			< 0.1
5194			< 0.1
5197			< 0.01
5200			< 0.1
5201			< 0.1
5205			< 0.1
5207	< 0.1	< 0.1	
5210			< 0.01
5213			< 0.1
5215			< 0.01
5217		< 0.1	
5218		< 0.1	
5220			< 0.1
5225			< 0.01
5226			< 0.01
5227	< 0.1	< 0.01	
5231			< 0.01
5234			< 0.1
5235			< 0.1
