Eigvals	3
27.156727192277668	22.363768134824728	12.390016392162508

Proportion explained	3
0.5301325865930588	0.3595171425597708	0.11035027084717038

Species	12	3
X940506	0.0020726670670595283	-0.03782146167941153	-0.004191661301330998
X940526	-0.01959261980247895	0.006258854296315801	0.004090543933111499
X940529	-0.0865816275978534	0.009192277606627322	-0.10365412124770897
X940532	-0.022125719468693444	-0.014682807819695614	0.004789534331301838
X940534	0.023789825491657902	0.008377316222604566	0.010607595497396805
X940535	-0.009084975698366863	0.010602050194500922	0.011429596367216313
X940540	-0.00019613638039393474	-0.017850276722242195	-0.007689729767583372
X940547	-0.01403990905726844	0.006658105905220442	-0.02158867326479343
X940550	0.044006190214511014	-0.010979509423583344	-0.008954026193733753
X940551	-0.04544792941782834	-0.034455663356107176	-0.010952807682196523
X940555	0.0020671172449468153	-0.002186407478330862	-0.012679484609036857
X940558	-0.020958079888152643	-0.018896038304085077	0.0003345197092196153
X940560	-0.08368129807998861	0.031189735355083743	0.049149617822229645
X940562	-0.019348449444307903	0.0124212457417222	-0.0083257235632335
X940570	0.025522244549068093	-0.010659533780007056	0.0021489567220042568
X940571	0.04239109532609909	-0.01666534222481179	-0.05171312802882043
X940580	-0.0008291917814262943	0.01419928199302781	-0.028224987085726978
X940584	-0.013547737291638742	-0.04259913678844857	-0.005516630786780286
X940589	0.05277931247908132	-0.1231551350068594	-0.01580555721108007
X940598	0.0029344443456777824	0.0050819398291893775	-0.00811159907938576
X940602	-0.0760941975504833	0.017657468986421898	-0.06688557238233847
X940606	0.0017181753013334924	-0.0169019221586475	0.014750128535983119
X940612	0.00031327513807170615	-0.057840335537048766	-0.0009650918673572694
X940623	0.0116733720600111	0.01033906655184684	0.004622785976272433
X940625	0.07504664931179234	-0.03393760153088846	0.01717755558309843
X940641	-0.012318718671183079	-0.0032377090997893613	-0.0008730204669690182
X940642	0.026171595327996473	-0.004813231058311022	0.005581703038392665
X940648	0.030361519964361375	0.04703897053623445	0.01641246720395816
X940649	-0.012861267775966991	0.00970142539164895	0.011728304621237324
X940652	0.0008510182534243502	0.01104626136871096	-0.00992802377341077
X940662	0.0002798397802308299	0.008711287129939998	0.009322110017231423
X940665	0.016844467039245085	-0.012398698165247244	-0.014049894069657943
X940674	-0.003586338626223859	0.0073912291981508	-0.005956078159501942
X940689	-0.09315672511295736	0.011567408333256021	-0.06334052123442797
X940690	0.013938039622950248	0.026601751931992434	-0.02683996268412494
X940692	-0.007738160452596036	-0.05022024849290839	-0.008982956537032554
X940696	0.033378269815309745	0.005302539093756329	0.018733046828640004
X940700	0.021344367498357105	-0.001122418463597025	-0.024534362157445942
X940714	0.014388639236550088	-0.029049904131601613	0.00245669349151962
X940721	-0.0230682534146802	0.030838269296766294	0.05801771695825471
X940727	0.027943534748843923	-0.01327302247717154	-0.0252617918923226
X940748	-0.03288318766410951	0.014185217418178547	0.02355396795318883
